Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
1.000000	15.8671   	16.6698   	16.2456   	16.2456   	0.296943  	0.296996  	0.0841547 	0.106653  	0.0739698 
1.025000	16.5217   	17.3574   	16.9154   	16.9154   	0.309774  	0.307703  	0.0872444 	0.110274  	0.0767844 
1.050000	17.1762   	18.0451   	17.5852   	17.5852   	0.322604  	0.31841   	0.090334  	0.113896  	0.0795989 
1.075000	17.8307   	18.7328   	18.255    	18.255    	0.335435  	0.329117  	0.0934237 	0.117517  	0.0824135 
1.100000	18.4852   	19.4205   	18.9248   	18.9248   	0.348266  	0.339824  	0.0965134 	0.121139  	0.085228  
1.125000	19.1397   	20.1081   	19.5946   	19.5946   	0.361096  	0.35053   	0.0996031 	0.12476   	0.0880426 
1.150000	19.7942   	20.7958   	20.2643   	20.2643   	0.373927  	0.361237  	0.102693  	0.128382  	0.0908572 
1.175000	20.4487   	21.4835   	20.9341   	20.9341   	0.386758  	0.371944  	0.105782  	0.132003  	0.0936717 
1.200000	21.1033   	22.1711   	21.6039   	21.6039   	0.399588  	0.382651  	0.108872  	0.135624  	0.0964863 
1.225000	21.7578   	22.8588   	22.2737   	22.2737   	0.412419  	0.393357  	0.111962  	0.139246  	0.0993008 
1.250000	22.4123   	23.5465   	22.9435   	22.9435   	0.425249  	0.404064  	0.115051  	0.142867  	0.102115  
1.275000	23.1615   	24.3337   	23.7083   	23.7083   	0.440096  	0.415909  	0.118538  	0.146886  	0.105309  
1.300000	23.9108   	25.1209   	24.4731   	24.4731   	0.454942  	0.427754  	0.122024  	0.150905  	0.108502  
1.325000	24.66     	25.9081   	25.2379   	25.2379   	0.469789  	0.439599  	0.125511  	0.154923  	0.111696  
1.350000	25.4092   	26.6953   	26.0027   	26.0027   	0.484635  	0.451444  	0.128997  	0.158942  	0.114889  
1.375000	26.1585   	27.4825   	26.7675   	26.7675   	0.499481  	0.463289  	0.132483  	0.16296   	0.118082  
1.400000	26.9077   	28.2697   	27.5323   	27.5323   	0.514328  	0.475134  	0.13597   	0.166979  	0.121276  
1.425000	27.6569   	29.0569   	28.2971   	28.2971   	0.529174  	0.486979  	0.139456  	0.170998  	0.124469  
1.450000	28.4062   	29.8441   	29.0618   	29.0618   	0.54402   	0.498824  	0.142943  	0.175016  	0.127663  
1.475000	29.1554   	30.6313   	29.8266   	29.8266   	0.558867  	0.510669  	0.146429  	0.179035  	0.130856  
1.500000	29.9047   	31.4185   	30.5914   	30.5914   	0.573713  	0.522514  	0.149915  	0.183053  	0.13405   
1.525000	30.7467   	32.3032   	31.4489   	31.4489   	0.590556  	0.535482  	0.153796  	0.187464  	0.137619  
1.550000	31.5888   	33.1879   	32.3063   	32.3063   	0.607399  	0.54845   	0.157676  	0.191875  	0.141188  
1.575000	32.4308   	34.0726   	33.1637   	33.1637   	0.624242  	0.561418  	0.161557  	0.196286  	0.144757  
1.600000	33.2729   	34.9573   	34.0211   	34.0211   	0.641084  	0.574387  	0.165437  	0.200697  	0.148327  
1.625000	34.1149   	35.842    	34.8785   	34.8785   	0.657927  	0.587355  	0.169317  	0.205108  	0.151896  
1.650000	34.957    	36.7267   	35.736    	35.736    	0.67477   	0.600323  	0.173198  	0.209519  	0.155465  
1.675000	35.799    	37.6114   	36.5934   	36.5934   	0.691613  	0.613291  	0.177078  	0.21393   	0.159035  
1.700000	36.6411   	38.4962   	37.4508   	37.4508   	0.708455  	0.62626   	0.180959  	0.218341  	0.162604  
1.725000	37.4831   	39.3809   	38.3082   	38.3082   	0.725298  	0.639228  	0.184839  	0.222752  	0.166173  
1.750000	38.3252   	40.2656   	39.1656   	39.1656   	0.742141  	0.652196  	0.188719  	0.227163  	0.169743  
1.775000	39.2585   	41.2461   	40.1138   	40.1138   	0.760963  	0.66627   	0.19299   	0.23196   	0.173684  
1.800000	40.1917   	42.2267   	41.062    	41.062    	0.779785  	0.680343  	0.197261  	0.236757  	0.177626  
1.825000	41.125    	43.2073   	42.0101   	42.0101   	0.798608  	0.694417  	0.201531  	0.241553  	0.181567  
1.850000	42.0583   	44.1878   	42.9583   	42.9583   	0.81743   	0.708491  	0.205802  	0.24635   	0.185509  
1.875000	42.9916   	45.1684   	43.9064   	43.9064   	0.836252  	0.722564  	0.210073  	0.251147  	0.189451  
1.900000	43.9248   	46.1489   	44.8546   	44.8546   	0.855074  	0.736638  	0.214343  	0.255944  	0.193392  
1.925000	44.8581   	47.1295   	45.8028   	45.8028   	0.873896  	0.750712  	0.218614  	0.260741  	0.197334  
1.950000	45.7914   	48.11     	46.7509   	46.7509   	0.892719  	0.764786  	0.222885  	0.265537  	0.201275  
1.975000	46.7247   	49.0906   	47.6991   	47.6991   	0.911541  	0.778859  	0.227155  	0.270334  	0.205217  
2.000000	47.6579   	50.0712   	48.6473   	48.6473   	0.930363  	0.792933  	0.231426  	0.275131  	0.209159  
2.025000	48.6811   	51.1461   	49.6846   	49.6846   	0.95115   	0.808095  	0.236083  	0.280307  	0.213469  
2.050000	49.7042   	52.2211   	50.7219   	50.7219   	0.971936  	0.823257  	0.24074   	0.285483  	0.21778   
2.075000	50.7274   	53.2961   	51.7593   	51.7593   	0.992723  	0.838419  	0.245398  	0.290659  	0.22209   
2.100000	51.7505   	54.3711   	52.7966   	52.7966   	1.01351   	0.85358   	0.250055  	0.295835  	0.226401  
2.125000	52.7736   	55.446    	53.8339   	53.8339   	1.0343    	0.868742  	0.254712  	0.301011  	0.230712  
2.150000	53.7968   	56.521    	54.8713   	54.8713   	1.05508   	0.883904  	0.259369  	0.306187  	0.235022  
2.175000	54.8199   	57.596    	55.9086   	55.9086   	1.07587   	0.899066  	0.264026  	0.311363  	0.239333  
2.200000	55.8431   	58.671    	56.946    	56.946    	1.09666   	0.914228  	0.268684  	0.316539  	0.243644  
2.225000	56.8662   	59.7459   	57.9833   	57.9833   	1.11744   	0.92939   	0.273341  	0.321715  	0.247954  
2.250000	57.8893   	60.8209   	59.0206   	59.0206   	1.13823   	0.944552  	0.277998  	0.326892  	0.252265  
2.275000	59.0014   	61.9891   	60.1458   	60.1458   	1.16097   	0.960786  	0.283039  	0.332442  	0.256942  
2.300000	60.1136   	63.1572   	61.271    	61.271    	1.1837    	0.977021  	0.288081  	0.337993  	0.261619  
2.325000	61.2257   	64.3254   	62.3962   	62.3962   	1.20644   	0.993256  	0.293122  	0.343544  	0.266296  
2.350000	62.3378   	65.4935   	63.5213   	63.5213   	1.22918   	1.00949   	0.298163  	0.349095  	0.270973  
2.375000	63.4499   	66.6617   	64.6465   	64.6465   	1.25191   	1.02573   	0.303205  	0.354646  	0.275651  
2.400000	64.562    	67.8298   	65.7717   	65.7717   	1.27465   	1.04196   	0.308246  	0.360197  	0.280328  
2.425000	65.6741   	68.998    	66.8969   	66.8969   	1.29739   	1.05819   	0.313287  	0.365748  	0.285005  
2.450000	66.7862   	70.1661   	68.022    	68.022    	1.32013   	1.07443   	0.318328  	0.371299  	0.289682  
2.475000	67.8983   	71.3343   	69.1472   	69.1472   	1.34286   	1.09066   	0.32337   	0.37685   	0.294359  
2.500000	69.0104   	72.5024   	70.2724   	70.2724   	1.3656    	1.1069    	0.328411  	0.382401  	0.299037  
2.525000	70.319    	73.8082   	71.5271   	71.5271   	1.39124   	1.12472   	0.333987  	0.388452  	0.304229  
2.550000	71.6275   	75.114    	72.7817   	72.7817   	1.41688   	1.14253   	0.339563  	0.394504  	0.30942   
2.575000	72.936    	76.4198   	74.0364   	74.0364   	1.44252   	1.16035   	0.345139  	0.400556  	0.314612  
2.600000	74.2446   	77.7256   	75.2911   	75.2911   	1.46816   	1.17817   	0.350715  	0.406607  	0.319804  
2.625000	75.5531   	79.0314   	76.5458   	76.5458   	1.4938    	1.19598   	0.35629   	0.412659  	0.324996  
2.650000	76.8617   	80.3372   	77.8004   	77.8004   	1.51944   	1.2138    	0.361866  	0.418711  	0.330188  
2.675000	78.1702   	81.6429   	79.0551   	79.0551   	1.54508   	1.23162   	0.367442  	0.424762  	0.33538   
2.700000	79.4787   	82.9487   	80.3098   	80.3098   	1.57072   	1.24943   	0.373018  	0.430814  	0.340572  
2.725000	80.7873   	84.2545   	81.5644   	81.5644   	1.59635   	1.26725   	0.378594  	0.436866  	0.345764  
2.750000	82.0958   	85.5603   	82.8191   	82.8191   	1.62199   	1.28507   	0.38417   	0.442917  	0.350956  
2.775000	83.4043   	86.8661   	84.0738   	84.0738   	1.64763   	1.30288   	0.389746  	0.448969  	0.356148  
2.800000	84.7129   	88.1719   	85.3285   	85.3285   	1.67327   	1.3207    	0.395322  	0.45502   	0.36134   
2.825000	86.0214   	89.4777   	86.5831   	86.5831   	1.69891   	1.33852   	0.400898  	0.461072  	0.366532  
2.850000	87.33     	90.7835   	87.8378   	87.8378   	1.72455   	1.35633   	0.406474  	0.467124  	0.371724  
2.875000	88.6385   	92.0892   	89.0925   	89.0925   	1.75019   	1.37415   	0.412049  	0.473175  	0.376916  
2.900000	89.947    	93.395    	90.3472   	90.3472   	1.77583   	1.39197   	0.417625  	0.479227  	0.382108  
2.925000	91.2556   	94.7008   	91.6018   	91.6018   	1.80147   	1.40978   	0.423201  	0.485279  	0.3873    
2.950000	92.5641   	96.0066   	92.8565   	92.8565   	1.82711   	1.4276    	0.428777  	0.49133   	0.392492  
2.975000	93.8726   	97.3124   	94.1112   	94.1112   	1.85275   	1.44542   	0.434353  	0.497382  	0.397684  
