Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.000000	-	-	-	-	-	-	-	-	-
0.002500	0.0851832 	0.0875062 	0.0928586 	0.0928586 	0.00503741	0.00503741	0.000298841	0.000503961	0.000218865
0.005000	0.164962  	0.171008  	0.177915  	0.177915  	0.0058938 	0.0058938 	0.000757145	0.00124912	0.000571157
0.007500	0.237587  	0.247022  	0.250744  	0.250744  	0.00592958	0.00592958	0.00127343	0.00206993	0.000978404
0.010000	0.306308  	0.31895   	0.31761   	0.31761   	0.00608131	0.00608131	0.00179916	0.00289872	0.00139693
0.012500	0.367342  	0.382832  	0.376767  	0.376767  	0.00644792	0.00644792	0.00234206	0.00374363	0.00183498
0.015000	0.428376  	0.446713  	0.435923  	0.435923  	0.00681453	0.00681453	0.00288495	0.00458854	0.00227303
0.017500	0.480536  	0.501308  	0.48791   	0.48791   	0.00727169	0.00727169	0.00342871	0.00542705	0.00271584
0.020000	0.532696  	0.555902  	0.539896  	0.539896  	0.00772884	0.00772884	0.00397246	0.00626556	0.00315865
0.022500	0.578235  	0.603566  	0.58611   	0.58611   	0.00816097	0.00816097	0.00450274	0.00707904	0.00359271
0.025000	0.623775  	0.651231  	0.632323  	0.632323  	0.0085931 	0.0085931 	0.00503302	0.00789253	0.00402676
0.027500	0.664023  	0.693357  	0.674437  	0.674437  	0.00898502	0.00898502	0.00555324	0.008687  	0.00445446
0.030000	0.704272  	0.735484  	0.716552  	0.716552  	0.00937694	0.00937694	0.00607345	0.00948148	0.00488216
0.032500	0.740699  	0.773612  	0.755854  	0.755854  	0.00973731	0.00973731	0.00659081	0.0102681 	0.00530935
0.035000	0.777127  	0.811739  	0.795157  	0.795157  	0.0100977 	0.0100977 	0.00710817	0.0110546 	0.00573654
0.037500	0.810763  	0.846945  	0.832135  	0.832135  	0.0104263 	0.0104263 	0.00753889	0.011708  	0.00609298
