Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.000000	-	-	-	-	-	-	-	-	-
0.002500	0.101545  	0.100326  	0.0762823 	0.0762823 	0.00806783	0.00806783	0.000242573	0.000378101	0.000184041
0.005000	0.179688  	0.176855  	0.133947  	0.133947  	0.00888404	0.00888404	0.000534175	0.00082092	0.000411697
0.007500	0.239351  	0.235285  	0.177709  	0.177709  	0.00890393	0.00890393	0.000806623	0.00122601	0.000628911
0.010000	0.29267   	0.287503  	0.216755  	0.216755  	0.00898356	0.00898356	0.00107381	0.00162036	0.000843396
0.012500	0.335866  	0.329807  	0.24966   	0.24966   	0.0091606 	0.0091606 	0.00133585	0.00200327	0.00105563
0.015000	0.379061  	0.37211   	0.282566  	0.282566  	0.00933764	0.00933764	0.00159788	0.00238619	0.00126787
0.017500	0.413892  	0.406221  	0.310886  	0.310886  	0.0095637 	0.0095637 	0.00185661	0.00276117	0.00147893
0.020000	0.448722  	0.440332  	0.339205  	0.339205  	0.00978977	0.00978977	0.00211534	0.00313615	0.00168999
0.022500	0.478556  	0.46955   	0.364523  	0.364523  	0.0100227 	0.0100227 	0.00237326	0.00350773	0.00190145
0.025000	0.50839   	0.498768  	0.389841  	0.389841  	0.0102556 	0.0102556 	0.00263117	0.0038793 	0.00211291
0.027500	0.534948  	0.524778  	0.413156  	0.413156  	0.0104849 	0.0104849 	0.00289141	0.00425225	0.00232721
0.030000	0.561506  	0.550787  	0.43647   	0.43647   	0.0107142 	0.0107142 	0.00315165	0.0046252 	0.00254151
0.032500	0.5858    	0.57458   	0.458464  	0.458464  	0.0109404 	0.0109404 	0.00341703	0.00500359	0.00276096
0.035000	0.610094  	0.598372  	0.480458  	0.480458  	0.0111667 	0.0111667 	0.00368241	0.00538198	0.0029804 
0.037500	0.632775  	0.620584  	0.501484  	0.501484  	0.0113893 	0.0113893 	0.00395429	0.00576785	0.00320605
0.040000	0.655455  	0.642796  	0.522509  	0.522509  	0.0116119 	0.0116119 	0.00422618	0.00615373	0.0034317 
0.042500	0.676968  	0.663864  	0.542816  	0.542816  	0.0118316 	0.0118316 	0.00450592	0.00654905	0.00366466
0.045000	0.69848   	0.684932  	0.563123  	0.563123  	0.0120514 	0.0120514 	0.00478566	0.00694437	0.00389763
0.047500	0.719143  	0.705169  	0.582896  	0.582896  	0.0122694 	0.0124297 	0.00507352	0.0073495 	0.0041381 
0.050000	0.739807  	0.725406  	0.60267   	0.60267   	0.0124875 	0.012808  	0.00536137	0.00775462	0.00437857
0.052500	0.75986   	0.745044  	0.622053  	0.622053  	0.0127051 	0.0132488 	0.00565858	0.00817127	0.0046276 
0.055000	0.779913  	0.764683  	0.641437  	0.641437  	0.0129227 	0.0136895 	0.00595579	0.00858791	0.00487663
0.057500	0.799537  	0.783902  	0.660543  	0.660543  	0.0131411 	0.0141028 	0.00626289	0.00901679	0.00513468
0.060000	0.819161  	0.80312   	0.679648  	0.679648  	0.0133595 	0.0145161 	0.00656999	0.00944567	0.00539273
0.062500	0.83841   	0.821972  	0.698512  	0.698512  	0.0135813 	0.0149028 	0.00689312	0.00989446	0.00566534
0.065000	0.857659  	0.840824  	0.717375  	0.717375  	0.0138032 	0.0152895 	0.00721625	0.0103432 	0.00593796
0.067500	0.876909  	0.859676  	0.736238  	0.736238  	0.014025  	0.0156763 	0.00753938	0.010792  	0.00621057
0.070000	0.896158  	0.878528  	0.755101  	0.755101  	0.0142469 	0.016063  	0.00786251	0.0112408 	0.00648319
0.072500	0.915231  	0.897206  	0.773858  	0.773858  	0.0144766 	0.01643   	0.00820904	0.0117187 	0.00677701
0.075000	0.934303  	0.915885  	0.792616  	0.792616  	0.0147063 	0.016797  	0.00855556	0.0121966 	0.00707083
0.077500	0.953376  	0.934563  	0.811373  	0.811373  	0.014936  	0.017164  	0.00890209	0.0126745 	0.00736465
0.080000	0.972448  	0.953242  	0.830131  	0.830131  	0.0151657 	0.017531  	0.00924861	0.0131524 	0.00765847
0.082500	0.991614  	0.972012  	0.848976  	0.848976  	0.0154065 	0.0178903 	0.00961712	0.013657  	0.00797251
0.085000	1.01078   	0.990781  	0.867822  	0.867822  	0.0156474 	0.0182496 	0.00998562	0.0141616 	0.00828654
0.087500	1.02994   	1.00955   	0.886667  	0.886667  	0.0158882 	0.0186089 	0.0103541 	0.0146661 	0.00860057
0.090000	1.04911   	1.02832   	0.905513  	0.905513  	0.0161291 	0.0189682 	0.0107226 	0.0151707 	0.0089146 
0.092500	1.06855   	1.04736   	0.924587  	0.924587  	0.0163837 	0.0193275 	0.0111107 	0.0156981 	0.009247  
0.095000	1.08799   	1.0664    	0.943661  	0.943661  	0.0166384 	0.0196868 	0.0114988 	0.0162255 	0.00957939
0.097500	1.10743   	1.08544   	0.962736  	0.962736  	0.0168931 	0.0200461 	0.0118869 	0.016753  	0.00991179
0.100000	1.12687   	1.10448   	0.98181   	0.98181   	0.0171478 	0.0204054 	0.012275  	0.0172804 	0.0102442 
0.102500	1.14695   	1.12414   	1.00142   	1.00142   	0.0174273 	0.0207744 	0.0126802 	0.017826  	0.0105932 
0.105000	1.16703   	1.14381   	1.02104   	1.02104   	0.0177068 	0.0211434 	0.0130853 	0.0183716 	0.0109422 
0.107500	1.18711   	1.16347   	1.04065   	1.04065   	0.0179863 	0.0215124 	0.0134904 	0.0189172 	0.0112913 
0.110000	1.2072    	1.18314   	1.06026   	1.06026   	0.0182658 	0.0218814 	0.0138956 	0.0194629 	0.0116403 
0.112500	1.22728   	1.20281   	1.07988   	1.07988   	0.0185453 	0.0222504 	0.0143007 	0.0200085 	0.0119893 
0.115000	1.24736   	1.22247   	1.09949   	1.09949   	0.0188248 	0.0226193 	0.0147059 	0.0205541 	0.0123384 
0.117500	1.26744   	1.24214   	1.1191    	1.1191    	0.0191044 	0.0229883 	0.015111  	0.0210997 	0.0126874 
0.120000	1.28752   	1.26181   	1.13872   	1.13872   	0.0193839 	0.0233573 	0.0155162 	0.0216454 	0.0130364 
0.122500	1.30867   	1.28252   	1.15926   	1.15926   	0.0197012 	0.0237488 	0.0158844 	0.0221366 	0.0133556 
0.125000	1.32982   	1.30324   	1.17981   	1.17981   	0.0200186 	0.0241403 	0.0162527 	0.0226278 	0.0136747 
0.127500	1.35097   	1.32395   	1.20036   	1.20036   	0.020336  	0.0245318 	0.0166209 	0.023119  	0.0139938 
0.130000	1.37213   	1.34467   	1.2209    	1.2209    	0.0206533 	0.0249233 	0.0169892 	0.0236102 	0.0143129 
0.132500	1.39328   	1.36538   	1.24145   	1.24145   	0.0209707 	0.0253148 	0.0173574 	0.0241014 	0.014632  
0.135000	1.41443   	1.3861    	1.262     	1.262     	0.0212881 	0.0257063 	0.0177257 	0.0245926 	0.0149511 
0.137500	1.43558   	1.40681   	1.28254   	1.28254   	0.0216054 	0.0260978 	0.0180939 	0.0250838 	0.0152702 
0.140000	1.45673   	1.42753   	1.30309   	1.30309   	0.0219228 	0.0264893 	0.0184622 	0.025575  	0.0155894 
0.142500	1.47908   	1.44941   	1.32473   	1.32473   	0.0222813 	0.0269096 	0.018808  	0.0260316 	0.0158909 
0.145000	1.50143   	1.4713    	1.34637   	1.34637   	0.0226398 	0.0273298 	0.0191539 	0.0264882 	0.0161924 
0.147500	1.52378   	1.49319   	1.368     	1.368     	0.0229983 	0.02775   	0.0194997 	0.0269447 	0.0164939 
0.150000	1.54614   	1.51508   	1.38964   	1.38964   	0.0233568 	0.0281702 	0.0198455 	0.0274013 	0.0167954 
0.152500	1.56849   	1.53697   	1.41128   	1.41128   	0.0237152 	0.0285904 	0.0201913 	0.0278579 	0.0170969 
0.155000	1.59084   	1.55886   	1.43292   	1.43292   	0.0240737 	0.0290106 	0.0205372 	0.0283144 	0.0173984 
0.157500	1.61319   	1.58075   	1.45456   	1.45456   	0.0244322 	0.0294309 	0.020883  	0.028771  	0.0176999 
0.160000	1.63554   	1.60264   	1.47619   	1.47619   	0.0247907 	0.0298511 	0.0212288 	0.0292276 	0.0180014 
0.162500	1.65913   	1.62574   	1.499     	1.499     	0.0251915 	0.0303025 	0.0215642 	0.0296658 	0.0182955 
0.165000	1.68272   	1.64885   	1.52182   	1.52182   	0.0255922 	0.030754  	0.0218995 	0.0301041 	0.0185895 
0.167500	1.70632   	1.67195   	1.54463   	1.54463   	0.025993  	0.0312054 	0.0222349 	0.0305423 	0.0188836 
0.170000	1.72991   	1.69506   	1.56744   	1.56744   	0.0263937 	0.0316569 	0.0225703 	0.0309806 	0.0191777 
0.172500	1.7535    	1.71816   	1.59025   	1.59025   	0.0267945 	0.0321084 	0.0229056 	0.0314188 	0.0194718 
0.175000	1.7771    	1.74127   	1.61306   	1.61306   	0.0271952 	0.0325598 	0.023241  	0.0318571 	0.0197658 
0.177500	1.80069   	1.76438   	1.63587   	1.63587   	0.027596  	0.0330113 	0.0235763 	0.0322953 	0.0200599 
0.180000	1.82428   	1.78748   	1.65869   	1.65869   	0.0279967 	0.0334627 	0.0239117 	0.0327336 	0.020354  
0.182500	1.84912   	1.81181   	1.68271   	1.68271   	0.0284394 	0.0339458 	0.0242377 	0.0331374 	0.0206415 
0.185000	1.87396   	1.83613   	1.70673   	1.70673   	0.028882  	0.0344288 	0.0245638 	0.0335411 	0.0209291 
0.187500	1.89879   	1.86046   	1.73076   	1.73076   	0.0293246 	0.0349118 	0.0248898 	0.0339449 	0.0212166 
0.190000	1.92363   	1.88478   	1.75478   	1.75478   	0.0297673 	0.0353949 	0.0252158 	0.0343487 	0.0215042 
0.192500	1.94847   	1.9091    	1.7788    	1.7788    	0.0302099 	0.0358779 	0.0255419 	0.0347525 	0.0217918 
0.195000	1.97331   	1.93343   	1.80283   	1.80283   	0.0306525 	0.036361  	0.0258679 	0.0351562 	0.0220793 
0.197500	1.99814   	1.95775   	1.82685   	1.82685   	0.0310952 	0.036844  	0.0261939 	0.03556   	0.0223669 
0.200000	2.02298   	1.98208   	1.85087   	1.85087   	0.0315378 	0.037327  	0.02652   	0.0359638 	0.0226544 
0.202500	2.04994   	2.00848   	1.87703   	1.87703   	0.0320498 	0.0378623 	0.0268565 	0.0363591 	0.0229532 
0.205000	2.0769    	2.03488   	1.90318   	1.90318   	0.0325618 	0.0383976 	0.0271931 	0.0367543 	0.023252  
0.207500	2.10386   	2.06129   	1.92933   	1.92933   	0.0330738 	0.0389329 	0.0275296 	0.0371496 	0.0235507 
0.210000	2.13082   	2.08769   	1.95548   	1.95548   	0.0335858 	0.0394682 	0.0278662 	0.0375449 	0.0238495 
0.212500	2.15778   	2.11409   	1.98163   	1.98163   	0.0340978 	0.0400034 	0.0282027 	0.0379402 	0.0241483 
0.215000	2.18474   	2.14049   	2.00778   	2.00778   	0.0346098 	0.0405387 	0.0285393 	0.0383354 	0.0244471 
0.217500	2.2117    	2.1669    	2.03394   	2.03394   	0.0351218 	0.041074  	0.0288758 	0.0387307 	0.0247458 
0.220000	2.23866   	2.1933    	2.06009   	2.06009   	0.0356338 	0.0416093 	0.0292124 	0.039126  	0.0250446 
0.222500	2.26562   	2.2197    	2.08624   	2.08624   	0.0361458 	0.0421445 	0.0295489 	0.0395213 	0.0253434 
0.225000	2.29258   	2.24611   	2.11239   	2.11239   	0.0366578 	0.0426798 	0.0298855 	0.0399165 	0.0256421 
0.227500	2.31954   	2.27251   	2.13854   	2.13854   	0.0371698 	0.0432151 	0.0302221 	0.0403118 	0.0259409 
0.230000	2.3465    	2.29891   	2.16469   	2.16469   	0.0376818 	0.0437504 	0.0305586 	0.0407071 	0.0262397 
0.232500	2.37345   	2.32531   	2.19085   	2.19085   	0.0381938 	0.0442857 	0.0308952 	0.0411023 	0.0265385 
0.235000	2.40041   	2.35172   	2.217     	2.217     	0.0387058 	0.0448209 	0.0312317 	0.0414976 	0.0268372 
0.237500	2.42737   	2.37812   	2.24315   	2.24315   	0.0392178 	0.0453562 	0.0315683 	0.0418929 	0.027136  
0.240000	2.45433   	2.40452   	2.2693    	2.2693    	0.0397298 	0.0458915 	0.0319048 	0.0422882 	0.0274348 
0.242500	2.48129   	2.43092   	2.29545   	2.29545   	0.0402418 	0.0464268 	0.0322414 	0.0426834 	0.0277335 
0.245000	2.50825   	2.45733   	2.32161   	2.32161   	0.0407538 	0.046962  	0.0325779 	0.0430787 	0.0280323 
0.247500	2.53521   	2.48373   	2.34776   	2.34776   	0.0412658 	0.0474973 	0.0329145 	0.043474  	0.0283311 
0.250000	2.56217   	2.51013   	2.37391   	2.37391   	0.0417778 	0.0480326 	0.033251  	0.0438693 	0.0286299 
0.252500	2.59202   	2.53936   	2.40301   	2.40301   	0.042379  	0.0486334 	0.0336014 	0.0442777 	0.0289435 
0.255000	2.62187   	2.56859   	2.43212   	2.43212   	0.0429802 	0.0492343 	0.0339518 	0.0446862 	0.0292572 
0.257500	2.65171   	2.59783   	2.46123   	2.46123   	0.0435814 	0.0498352 	0.0343021 	0.0450946 	0.0295709 
0.260000	2.68156   	2.62706   	2.49033   	2.49033   	0.0441826 	0.050436  	0.0346525 	0.0455031 	0.0298846 
0.262500	2.71141   	2.65629   	2.51944   	2.51944   	0.0447837 	0.0510369 	0.0350028 	0.0459115 	0.0301983 
0.265000	2.74126   	2.68552   	2.54854   	2.54854   	0.0453849 	0.0516377 	0.0353532 	0.04632   	0.030512  
0.267500	2.77111   	2.71475   	2.57765   	2.57765   	0.0459861 	0.0522386 	0.0357035 	0.0467285 	0.0308257 
0.270000	2.80095   	2.74398   	2.60675   	2.60675   	0.0465873 	0.0528394 	0.0360539 	0.0471369 	0.0311393 
0.272500	2.8308    	2.77321   	2.63586   	2.63586   	0.0471885 	0.0534403 	0.0364043 	0.0475454 	0.031453  
0.275000	2.86065   	2.80245   	2.66497   	2.66497   	0.0477897 	0.0540411 	0.0367546 	0.0479538 	0.0317667 
0.277500	2.8905    	2.83168   	2.69407   	2.69407   	0.0483909 	0.054642  	0.037105  	0.0483623 	0.0320804 
0.280000	2.92034   	2.86091   	2.72318   	2.72318   	0.048992  	0.0552428 	0.0374553 	0.0487707 	0.0323941 
0.282500	2.95019   	2.89014   	2.75228   	2.75228   	0.0495932 	0.0558437 	0.0378057 	0.0491792 	0.0327078 
0.285000	2.98004   	2.91937   	2.78139   	2.78139   	0.0501944 	0.0564445 	0.0381561 	0.0495876 	0.0330215 
0.287500	3.00989   	2.9486    	2.81049   	2.81049   	0.0507956 	0.0570454 	0.0385064 	0.0499961 	0.0333351 
0.290000	3.03974   	2.97783   	2.8396    	2.8396    	0.0513968 	0.0576462 	0.0388568 	0.0504046 	0.0336488 
0.292500	3.06958   	3.00706   	2.86871   	2.86871   	0.051998  	0.0582471 	0.0392071 	0.050813  	0.0339625 
0.295000	3.09943   	3.0363    	2.89781   	2.89781   	0.0525992 	0.0588479 	0.0395575 	0.0512215 	0.0342762 
0.297500	3.12928   	3.06553   	2.92692   	2.92692   	0.0532004 	0.0594488 	0.0399078 	0.0516299 	0.0345899 
0.300000	3.15913   	3.09476   	2.95602   	2.95602   	0.0538015 	0.0600496 	0.0402582 	0.0520384 	0.0349036 
0.302500	3.19169   	3.12665   	2.98792   	2.98792   	0.0544802 	0.0607049 	0.0406206 	0.0524586 	0.0352305 
0.305000	3.22426   	3.15855   	3.01983   	3.01983   	0.0551588 	0.0613602 	0.0409831 	0.0528789 	0.0355575 
0.307500	3.25683   	3.19044   	3.05173   	3.05173   	0.0558375 	0.0620155 	0.0413455 	0.0532991 	0.0358844 
0.310000	3.2894    	3.22234   	3.08363   	3.08363   	0.0565161 	0.0626708 	0.0417079 	0.0537193 	0.0362114 
0.312500	3.32196   	3.25423   	3.11553   	3.11553   	0.0571948 	0.0633261 	0.0420703 	0.0541396 	0.0365383 
0.315000	3.35453   	3.28613   	3.14743   	3.14743   	0.0578734 	0.0639814 	0.0424328 	0.0545598 	0.0368652 
0.317500	3.3871    	3.31802   	3.17933   	3.17933   	0.0585521 	0.0646367 	0.0427952 	0.0549801 	0.0371922 
0.320000	3.41967   	3.34992   	3.21123   	3.21123   	0.0592307 	0.065292  	0.0431576 	0.0554003 	0.0375191 
0.322500	3.45223   	3.38181   	3.24314   	3.24314   	0.0599094 	0.0659473 	0.04352   	0.0558205 	0.0378461 
0.325000	3.4848    	3.41371   	3.27504   	3.27504   	0.060588  	0.0666026 	0.0438825 	0.0562408 	0.038173  
0.327500	3.51737   	3.4456    	3.30694   	3.30694   	0.0612666 	0.0672579 	0.0442449 	0.056661  	0.0385    
0.330000	3.54994   	3.4775    	3.33884   	3.33884   	0.0619453 	0.0679132 	0.0446073 	0.0570813 	0.0388269 
0.332500	3.5825    	3.50939   	3.37074   	3.37074   	0.0626239 	0.0685685 	0.0449698 	0.0575015 	0.0391539 
0.335000	3.61507   	3.54129   	3.40264   	3.40264   	0.0633026 	0.0692238 	0.0453322 	0.0579217 	0.0394808 
0.337500	3.64764   	3.57318   	3.43454   	3.43454   	0.0639812 	0.0698791 	0.0456946 	0.058342  	0.0398077 
0.340000	3.68021   	3.60508   	3.46644   	3.46644   	0.0646599 	0.0705344 	0.046057  	0.0587622 	0.0401347 
0.342500	3.71277   	3.63697   	3.49835   	3.49835   	0.0653385 	0.0711897 	0.0464195 	0.0591825 	0.0404616 
0.345000	3.74534   	3.66887   	3.53025   	3.53025   	0.0660172 	0.071845  	0.0467819 	0.0596027 	0.0407886 
0.347500	3.77791   	3.70076   	3.56215   	3.56215   	0.0666958 	0.0725003 	0.0471443 	0.0600229 	0.0411155 
0.350000	3.81048   	3.73266   	3.59405   	3.59405   	0.0673745 	0.0731555 	0.0475067 	0.0604432 	0.0414425 
0.352500	3.84563   	3.76708   	3.62859   	3.62859   	0.0681214 	0.0738566 	0.0478888 	0.0608846 	0.0417888 
0.355000	3.88078   	3.80151   	3.66313   	3.66313   	0.0688684 	0.0745577 	0.0482708 	0.0613261 	0.0421352 
0.357500	3.91593   	3.83593   	3.69767   	3.69767   	0.0696154 	0.0752587 	0.0486528 	0.0617675 	0.0424816 
0.360000	3.95108   	3.87036   	3.73221   	3.73221   	0.0703623 	0.0759598 	0.0490349 	0.062209  	0.0428279 
0.362500	3.98623   	3.90478   	3.76675   	3.76675   	0.0711093 	0.0766608 	0.0494169 	0.0626504 	0.0431743 
0.365000	4.02138   	3.93921   	3.80128   	3.80128   	0.0718563 	0.0773619 	0.0497989 	0.0630918 	0.0435207 
0.367500	4.05653   	3.97363   	3.83582   	3.83582   	0.0726032 	0.0780629 	0.0501809 	0.0635333 	0.0438671 
