Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
10.000000	627.325   	626.959   	630.136   	630.136   	12.2971   	7.43787   	11.6131   	11.1351   	11.7483   
10.250000	654.185   	653.44    	657.224   	657.223   	12.8253   	7.73045   	12.0905   	11.5684   	12.232    
10.500000	681.044   	679.922   	684.311   	684.311   	13.3534   	8.02302   	12.5679   	12.0018   	12.7158   
10.750000	707.904   	706.403   	711.399   	711.398   	13.8815   	8.3156    	13.0453   	12.4351   	13.1996   
11.000000	734.763   	732.884   	738.487   	738.486   	14.4096   	8.60818   	13.5227   	12.8685   	13.6834   
11.250000	763.403   	760.924   	767.301   	767.3     	14.9694   	8.92049   	14.0275   	13.3236   	14.1951   
11.500000	792.043   	788.964   	796.116   	796.114   	15.5293   	9.2328    	14.5323   	13.7787   	14.7068   
11.750000	820.684   	817.004   	824.93    	824.927   	16.0891   	9.54512   	15.0371   	14.2338   	15.2185   
12.000000	849.324   	845.044   	853.745   	853.741   	16.6489   	9.85743   	15.5419   	14.6889   	15.7302   
12.250000	879.711   	874.644   	884.248   	884.244   	17.24     	10.1888   	16.0733   	15.165    	16.2689   
12.500000	910.099   	904.243   	914.75    	914.746   	17.831    	10.5202   	16.6047   	15.6411   	16.8076   
12.750000	940.487   	933.843   	945.253   	945.248   	18.4221   	10.8515   	17.1361   	16.1172   	17.3464   
13.000000	970.874   	963.442   	975.756   	975.75    	19.0131   	11.1829   	17.6675   	16.5933   	17.8851   
13.250000	1002.98   	994.598   	1007.91   	1007.91   	19.6348   	11.5316   	18.2249   	17.0898   	18.4501   
13.500000	1035.08   	1025.75   	1040.07   	1040.06   	20.2565   	11.8804   	18.7822   	17.5862   	19.0152   
13.750000	1067.19   	1056.91   	1072.23   	1072.22   	20.8783   	12.2291   	19.3396   	18.0826   	19.5802   
14.000000	1099.29   	1088.06   	1104.38   	1104.37   	21.5      	12.5778   	19.897    	18.5791   	20.1452   
14.250000	1133.08   	1120.77   	1138.16   	1138.15   	22.1519   	12.9429   	20.4797   	19.0953   	20.736    
14.500000	1166.87   	1153.47   	1171.94   	1171.93   	22.8038   	13.308    	21.0625   	19.6115   	21.3269   
14.750000	1200.67   	1186.18   	1205.72   	1205.71   	23.4557   	13.6731   	21.6452   	20.1277   	21.9177   
15.000000	1234.46   	1218.89   	1239.5    	1239.49   	24.1077   	14.0382   	22.228    	20.644    	22.5085   
15.250000	1269.91   	1253.13   	1274.87   	1274.86   	24.7893   	14.4188   	22.8355   	21.1796   	23.1246   
15.500000	1305.37   	1287.38   	1310.24   	1310.23   	25.471    	14.7995   	23.443    	21.7152   	23.7408   
15.750000	1340.82   	1321.63   	1345.61   	1345.61   	26.1526   	15.1801   	24.0506   	22.2509   	24.3569   
16.000000	1376.27   	1355.87   	1380.99   	1380.98   	26.8343   	15.5607   	24.6581   	22.7865   	24.973    
16.250000	1413.37   	1391.65   	1417.93   	1417.92   	27.5451   	15.956    	25.29     	23.3409   	25.614    
16.500000	1450.46   	1427.43   	1454.86   	1454.86   	28.2559   	16.3512   	25.9219   	23.8953   	26.2549   
16.750000	1487.55   	1463.21   	1491.8    	1491.8    	28.9667   	16.7465   	26.5538   	24.4498   	26.8958   
17.000000	1524.64   	1498.99   	1528.74   	1528.74   	29.6775   	17.1417   	27.1857   	25.0042   	27.5368   
17.250000	1563.35   	1536.29   	1567.22   	1567.23   	30.417    	17.5509   	27.8415   	25.5772   	28.202    
17.500000	1602.05   	1573.59   	1605.7    	1605.71   	31.1565   	17.9601   	28.4973   	26.1502   	28.8672   
17.750000	1640.76   	1610.9    	1644.18   	1644.19   	31.896    	18.3693   	29.1531   	26.7231   	29.5325   
18.000000	1679.46   	1648.2    	1682.66   	1682.68   	32.6355   	18.7785   	29.809    	27.2961   	30.1977   
18.250000	1719.76   	1687.01   	1722.66   	1722.68   	33.4033   	19.2012   	30.4884   	27.8873   	30.8869   
18.500000	1760.06   	1725.83   	1762.66   	1762.69   	34.1711   	19.6239   	31.1678   	28.4785   	31.5761   
18.750000	1800.36   	1764.64   	1802.66   	1802.69   	34.9389   	20.0467   	31.8472   	29.0697   	32.2654   
19.000000	1840.66   	1803.46   	1842.66   	1842.69   	35.7068   	20.4694   	32.5266   	29.6608   	32.9546   
19.250000	1882.53   	1843.77   	1884.16   	1884.2    	36.5025   	20.9053   	33.2292   	30.2698   	33.6674   
19.500000	1924.4    	1884.09   	1925.66   	1925.7    	37.2983   	21.3411   	33.9318   	30.8787   	34.3803   
19.750000	1966.27   	1924.41   	1967.16   	1967.2    	38.094    	21.777    	34.6344   	31.4877   	35.0932   
20.000000	2008.14   	1964.72   	2008.65   	2008.7    	38.8897   	22.2129   	35.337    	32.0966   	35.8061   
20.250000	2051.56   	2006.53   	2051.63   	2051.69   	39.713    	22.6616   	36.0624   	32.7231   	36.5423   
20.500000	2094.99   	2048.34   	2094.61   	2094.67   	40.5362   	23.1102   	36.7878   	33.3497   	37.2784   
20.750000	2138.41   	2090.15   	2137.58   	2137.65   	41.3595   	23.5589   	37.5132   	33.9762   	38.0146   
21.000000	2181.84   	2131.96   	2180.56   	2180.63   	42.1828   	24.0075   	38.2386   	34.6027   	38.7508   
21.250000	2226.79   	2175.24   	2225      	2225.07   	43.0332   	24.4687   	38.9865   	35.2466   	39.51     
21.500000	2271.75   	2218.53   	2269.44   	2269.52   	43.8836   	24.9298   	39.7344   	35.8904   	40.2692   
21.750000	2316.71   	2261.82   	2313.87   	2313.96   	44.7341   	25.391    	40.4823   	36.5343   	41.0285   
22.000000	2361.67   	2305.11   	2358.31   	2358.4    	45.5845   	25.8522   	41.2303   	37.1781   	41.7877   
22.250000	2408.15   	2349.87   	2404.19   	2404.29   	46.4617   	26.3256   	42.0004   	37.8389   	42.5696   
22.500000	2454.62   	2394.63   	2450.07   	2450.17   	47.3389   	26.7989   	42.7706   	38.4997   	43.3516   
22.750000	2501.1    	2439.39   	2495.95   	2496.06   	48.2162   	27.2723   	43.5407   	39.1604   	44.1335   
23.000000	2547.57   	2484.15   	2541.83   	2541.94   	49.0934   	27.7457   	44.3109   	39.8212   	44.9155   
23.250000	2595.55   	2530.36   	2589.13   	2589.25   	49.9969   	28.2309   	45.1029   	40.4986   	45.7197   
23.500000	2643.53   	2576.58   	2636.43   	2636.56   	50.9004   	28.7161   	45.895    	41.1761   	46.524    
23.750000	2691.5    	2622.8    	2683.73   	2683.87   	51.804    	29.2013   	46.687    	41.8536   	47.3283   
24.000000	2739.48   	2669.02   	2731.03   	2731.18   	52.7075   	29.6865   	47.479    	42.5311   	48.1326   
24.250000	2788.94   	2716.69   	2779.74   	2779.9    	53.6368   	30.1831   	48.2926   	43.225    	48.9588   
24.500000	2838.4    	2764.36   	2828.45   	2828.62   	54.5662   	30.6797   	49.1062   	43.9189   	49.7851   
24.750000	2887.86   	2812.02   	2877.15   	2877.33   	55.4955   	31.1762   	49.9198   	44.6128   	50.6113   
25.000000	2937.32   	2859.69   	2925.86   	2926.05   	56.4248   	31.6728   	50.7334   	45.3067   	51.4376   
25.250000	2988.98   	2909.51   	2976.64   	2976.85   	57.3922   	32.1861   	51.5787   	46.0248   	52.2964   
25.500000	3040.63   	2959.34   	3027.42   	3027.65   	58.3597   	32.6993   	52.424    	46.7428   	53.1551   
25.750000	3092.29   	3009.16   	3078.2    	3078.45   	59.3271   	33.2126   	53.2693   	47.4608   	54.0139   
26.000000	3143.95   	3058.98   	3128.98   	3129.24   	60.2945   	33.7258   	54.1146   	48.1788   	54.8727   
26.250000	3195.61   	3108.8    	3179.76   	3180.04   	61.2619   	34.2391   	54.9599   	48.8968   	55.7314   
26.500000	3247.26   	3158.62   	3230.54   	3230.84   	62.2293   	34.7524   	55.8052   	49.6148   	56.5902   
26.750000	3298.92   	3208.44   	3281.32   	3281.64   	63.1967   	35.2656   	56.6505   	50.3328   	57.4489   
27.000000	3350.58   	3258.26   	3332.1    	3332.44   	64.1641   	35.7789   	57.4959   	51.0508   	58.3077   
27.250000	3405.11   	3310.92   	3385.6    	3385.96   	65.1815   	36.3143   	58.3826   	51.8004   	59.2091   
27.500000	3459.65   	3363.58   	3439.11   	3439.49   	66.1989   	36.8497   	59.2694   	52.5499   	60.1104   
27.750000	3514.19   	3416.24   	3492.61   	3493.01   	67.2163   	37.385    	60.1562   	53.2994   	61.0118   
28.000000	3568.73   	3468.9    	3546.11   	3546.53   	68.2336   	37.9204   	61.043    	54.0489   	61.9132   
28.250000	3623.26   	3521.56   	3599.62   	3600.06   	69.251    	38.4558   	61.9297   	54.7984   	62.8146   
28.500000	3677.8    	3574.22   	3653.12   	3653.58   	70.2684   	38.9912   	62.8165   	55.5479   	63.7159   
28.750000	3732.34   	3626.88   	3706.62   	3707.1    	71.2858   	39.5266   	63.7033   	56.2974   	64.6173   
29.000000	3786.88   	3679.54   	3760.13   	3760.63   	72.3032   	40.062    	64.5901   	57.0469   	65.5187   
29.250000	3844.24   	3735      	3816.31   	3816.84   	73.3703   	40.6193   	65.5178   	57.8275   	66.4621   
29.500000	3901.6    	3790.45   	3872.5    	3873.05   	74.4373   	41.1766   	66.4455   	58.608    	67.4056   
29.750000	3958.97   	3845.91   	3928.69   	3929.26   	75.5044   	41.7339   	67.3732   	59.3885   	68.349    
30.000000	4016.33   	3901.37   	3984.87   	3985.47   	76.5714   	42.2912   	68.3009   	60.169    	69.2925   
30.250000	4073.7    	3956.83   	4041.06   	4041.68   	77.6385   	42.8485   	69.2286   	60.9495   	70.2359   
30.500000	4131.06   	4012.28   	4097.25   	4097.89   	78.7055   	43.4058   	70.1563   	61.73     	71.1794   
30.750000	4188.42   	4067.74   	4153.43   	4154.1    	79.7726   	43.9631   	71.0841   	62.5105   	72.1228   
31.000000	4245.79   	4123.2    	4209.62   	4210.31   	80.8396   	44.5204   	72.0118   	63.291    	73.0663   
31.250000	4305.93   	4181.42   	4268.55   	4269.26   	81.9608   	45.1015   	72.9821   	64.1038   	74.0535   
31.500000	4366.07   	4239.64   	4327.47   	4328.21   	83.0819   	45.6826   	73.9524   	64.9165   	75.0407   
31.750000	4426.21   	4297.86   	4386.39   	4387.15   	84.2031   	46.2637   	74.9227   	65.7293   	76.028    
32.000000	4486.35   	4356.08   	4445.32   	4446.1    	85.3242   	46.8448   	75.893    	66.542    	77.0152   
32.250000	4546.49   	4414.29   	4504.24   	4505.05   	86.4454   	47.4259   	76.8633   	67.3548   	78.0024   
32.500000	4606.63   	4472.51   	4563.17   	4564      	87.5665   	48.007    	77.8336   	68.1675   	78.9897   
32.750000	4666.77   	4530.73   	4622.09   	4622.95   	88.6876   	48.5881   	78.8039   	68.9802   	79.9769   
33.000000	4726.91   	4588.95   	4681.02   	4681.9    	89.8088   	49.1692   	79.7743   	69.793    	80.9641   
33.250000	4789.78   	4649.89   	4742.65   	4743.56   	90.9836   	49.774    	80.7871   	70.6379   	81.9951   
33.500000	4852.65   	4710.84   	4804.29   	4805.22   	92.1584   	50.3788   	81.7999   	71.4829   	83.026    
33.750000	4915.52   	4771.78   	4865.93   	4866.89   	93.3331   	50.9835   	82.8127   	72.3278   	84.0569   
34.000000	4978.39   	4832.72   	4927.57   	4928.55   	94.5079   	51.5883   	83.8255   	73.1728   	85.0879   
34.250000	5041.26   	4893.66   	4989.2    	4990.21   	95.6827   	52.1931   	84.8384   	74.0177   	86.1188   
34.500000	5104.13   	4954.61   	5050.84   	5051.87   	96.8575   	52.7979   	85.8512   	74.8626   	87.1497   
34.750000	5167      	5015.55   	5112.48   	5113.53   	98.0323   	53.4026   	86.864    	75.7076   	88.1806   
35.000000	5229.87   	5076.49   	5174.12   	5175.19   	99.2071   	54.0074   	87.8768   	76.5525   	89.2116   
35.250000	5296.09   	5140.79   	5239.08   	5240.19   	100.447   	54.6408   	88.9419   	77.4369   	90.2964   
35.500000	5362.31   	5205.09   	5304.04   	5305.18   	101.686   	55.2742   	90.0069   	78.3213   	91.3812   
35.750000	5428.53   	5269.38   	5369.01   	5370.17   	102.926   	55.9076   	91.072    	79.2057   	92.4661   
36.000000	5494.74   	5333.68   	5433.97   	5435.17   	104.165   	56.541    	92.137    	80.0901   	93.5509   
36.250000	5560.96   	5397.97   	5498.94   	5500.16   	105.405   	57.1744   	93.2021   	80.9745   	94.6357   
36.500000	5627.18   	5462.27   	5563.9    	5565.15   	106.645   	57.8078   	94.2671   	81.8589   	95.7205   
36.750000	5693.4    	5526.57   	5628.87   	5630.15   	107.884   	58.4412   	95.3321   	82.7433   	96.8054   
37.000000	5759.61   	5590.86   	5693.83   	5695.14   	109.124   	59.0746   	96.3972   	83.6277   	97.8902   
37.250000	5825.83   	5655.16   	5758.79   	5760.13   	110.364   	59.708    	97.4622   	84.5121   	98.975    
37.500000	5892.05   	5719.46   	5823.76   	5825.13   	111.603   	60.3414   	98.5273   	85.3965   	100.06    
37.750000	5958.27   	5783.75   	5888.72   	5890.12   	112.843   	60.9748   	99.5923   	86.2809   	101.145   
38.000000	6024.48   	5848.05   	5953.69   	5955.11   	114.082   	61.6082   	100.657   	87.1653   	102.23    
38.250000	6094.63   	5916.3    	6022.56   	6024.03   	115.397   	62.274    	101.784   	88.096    	103.378   
38.500000	6164.79   	5984.55   	6091.44   	6092.94   	116.712   	62.9399   	102.91    	89.0268   	104.526   
38.750000	6234.94   	6052.81   	6160.31   	6161.86   	118.027   	63.6058   	104.036   	89.9575   	105.674   
39.000000	6305.09   	6121.06   	6229.18   	6230.77   	119.341   	64.2717   	105.163   	90.8883   	106.823   
39.250000	6375.24   	6189.31   	6298.06   	6299.69   	120.656   	64.9376   	106.289   	91.8191   	107.971   
39.500000	6445.39   	6257.57   	6366.93   	6368.61   	121.971   	65.6034   	107.416   	92.7498   	109.119   
39.750000	6515.55   	6325.82   	6435.81   	6437.52   	123.286   	66.2693   	108.542   	93.6806   	110.268   
40.000000	6585.7    	6394.07   	6504.68   	6506.44   	124.6     	66.9352   	109.668   	94.6113   	111.416   
40.250000	6655.85   	6462.32   	6573.55   	6575.35   	125.915   	67.6011   	110.795   	95.5421   	112.564   
40.500000	6726      	6530.58   	6642.43   	6644.27   	127.23    	68.267    	111.921   	96.4728   	113.713   
40.750000	6796.15   	6598.83   	6711.3    	6713.18   	128.545   	68.9329   	113.047   	97.4036   	114.861   
41.000000	6866.31   	6667.08   	6780.18   	6782.1    	129.859   	69.5987   	114.174   	98.3343   	116.009   
41.250000	6940.31   	6739.22   	6852.89   	6854.86   	131.247   	70.2963   	115.36    	99.3105   	117.22    
41.500000	7014.31   	6811.35   	6925.61   	6927.62   	132.636   	70.9939   	116.547   	100.287   	118.431   
41.750000	7088.31   	6883.49   	6998.33   	7000.37   	134.024   	71.6915   	117.734   	101.263   	119.642   
42.000000	7162.31   	6955.62   	7071.04   	7073.13   	135.412   	72.3891   	118.92    	102.239   	120.853   
42.250000	7236.31   	7027.76   	7143.76   	7145.89   	136.8     	73.0867   	120.107   	103.215   	122.063   
42.500000	7310.31   	7099.9    	7216.48   	7218.65   	138.189   	73.7843   	121.294   	104.191   	123.274   
42.750000	7384.31   	7172.03   	7289.19   	7291.41   	139.577   	74.4819   	122.48    	105.167   	124.485   
43.000000	7458.31   	7244.17   	7361.91   	7364.17   	140.965   	75.1795   	123.667   	106.143   	125.696   
43.250000	7532.31   	7316.3    	7434.62   	7436.93   	142.353   	75.8771   	124.853   	107.12    	126.907   
43.500000	7606.31   	7388.44   	7507.34   	7509.69   	143.741   	76.5747   	126.04    	108.096   	128.117   
43.750000	7680.31   	7460.57   	7580.06   	7582.44   	145.13    	77.2723   	127.227   	109.072   	129.328   
44.000000	7754.31   	7532.71   	7652.77   	7655.2    	146.518   	77.9699   	128.413   	110.048   	130.539   
44.250000	7832.07   	7608.66   	7729.26   	7731.73   	147.977   	78.6982   	129.659   	111.069   	131.811   
44.500000	7909.84   	7684.6    	7805.74   	7808.26   	149.437   	79.4265   	130.904   	112.089   	133.083   
44.750000	7987.61   	7760.55   	7882.22   	7884.79   	150.896   	80.1548   	132.15    	113.11    	134.355   
45.000000	8065.38   	7836.5    	7958.71   	7961.31   	152.356   	80.883    	133.396   	114.13    	135.627   
45.250000	8143.14   	7912.45   	8035.19   	8037.84   	153.815   	81.6113   	134.641   	115.151   	136.899   
45.500000	8220.91   	7988.4    	8111.68   	8114.37   	155.275   	82.3396   	135.887   	116.171   	138.171   
45.750000	8298.68   	8064.35   	8188.16   	8190.9    	156.734   	83.0679   	137.132   	117.192   	139.443   
46.000000	8376.45   	8140.29   	8264.64   	8267.43   	158.194   	83.7962   	138.378   	118.212   	140.715   
46.250000	8454.22   	8216.24   	8341.13   	8343.95   	159.654   	84.5245   	139.623   	119.233   	141.987   
