Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
22.750000	2686.11   	2666.06   	2720.35   	2720.46   	67.2478   	38.1461   	22.7373   	20.6533   	21.7548   
23.000000	2738.12   	2717.34   	2772.91   	2773.02   	68.5622   	38.834    	23.1725   	21.0309   	22.1731   
23.250000	2791.94   	2770.42   	2827.27   	2827.38   	69.9212   	39.5413   	23.6222   	21.4198   	22.6055   
23.500000	2845.76   	2823.49   	2881.62   	2881.74   	71.2801   	40.2487   	24.0718   	21.8087   	23.0378   
23.750000	2899.58   	2876.57   	2935.97   	2936.1    	72.6391   	40.956    	24.5215   	22.1976   	23.4702   
24.000000	2953.4    	2929.64   	2990.32   	2990.46   	73.9981   	41.6634   	24.9711   	22.5865   	23.9026   
24.250000	3009.03   	2984.5    	3046.45   	3046.59   	75.4005   	42.3896   	25.4349   	22.9864   	24.3487   
24.500000	3064.65   	3039.36   	3102.57   	3102.73   	76.803    	43.1157   	25.8987   	23.3863   	24.7948   
24.750000	3120.27   	3094.22   	3158.7    	3158.86   	78.2055   	43.8419   	26.3625   	23.7862   	25.241    
25.000000	3175.89   	3149.08   	3214.82   	3215      	79.608    	44.568    	26.8263   	24.1862   	25.6871   
25.250000	3234.19   	3206.59   	3273.56   	3273.75   	81.0741   	45.3216   	27.3109   	24.6022   	26.1535   
25.500000	3292.48   	3264.1    	3332.29   	3332.5    	82.5403   	46.0752   	27.7954   	25.0183   	26.6199   
25.750000	3350.77   	3321.61   	3391.03   	3391.25   	84.0064   	46.8288   	28.28     	25.4343   	27.0863   
26.000000	3409.06   	3379.12   	3449.76   	3450      	85.4726   	47.5824   	28.7645   	25.8504   	27.5526   
26.250000	3467.35   	3436.62   	3508.5    	3508.75   	86.9387   	48.336    	29.2491   	26.2664   	28.019    
26.500000	3525.65   	3494.13   	3567.23   	3567.51   	88.4049   	49.0896   	29.7336   	26.6825   	28.4854   
26.750000	3583.94   	3551.64   	3625.97   	3626.26   	89.871    	49.8432   	30.2182   	27.0985   	28.9517   
27.000000	3642.23   	3609.15   	3684.7    	3685.01   	91.3372   	50.5968   	30.7027   	27.5145   	29.4181   
27.250000	3704.03   	3670.15   	3746.85   	3747.17   	92.8858   	51.3864   	31.2142   	27.9514   	29.9108   
27.500000	3765.83   	3731.15   	3808.99   	3809.34   	94.4345   	52.1759   	31.7257   	28.3883   	30.4034   
27.750000	3827.63   	3792.15   	3871.14   	3871.51   	95.9832   	52.9655   	32.2371   	28.8252   	30.8961   
28.000000	3889.43   	3853.15   	3933.29   	3933.67   	97.5318   	53.755    	32.7486   	29.2621   	31.3888   
28.250000	3951.23   	3914.15   	3995.43   	3995.84   	99.0805   	54.5446   	33.26     	29.699    	31.8814   
28.500000	4013.03   	3975.15   	4057.58   	4058      	100.629   	55.3341   	33.7715   	30.1358   	32.3741   
28.750000	4074.84   	4036.15   	4119.73   	4120.17   	102.178   	56.1236   	34.283    	30.5727   	32.8667   
29.000000	4136.64   	4097.15   	4181.87   	4182.33   	103.726   	56.9132   	34.7944   	31.0096   	33.3594   
29.250000	4201.89   	4161.59   	4247.36   	4247.84   	105.356   	57.7377   	35.3321   	31.4667   	33.8777   
29.500000	4267.14   	4226.03   	4312.85   	4313.36   	106.985   	58.5623   	35.8697   	31.9238   	34.396    
29.750000	4332.39   	4290.47   	4378.34   	4378.87   	108.614   	59.3869   	36.4074   	32.3809   	34.9143   
30.000000	4397.64   	4354.92   	4443.83   	4444.38   	110.243   	60.2114   	36.945    	32.838    	35.4326   
30.250000	4462.89   	4419.36   	4509.32   	4509.89   	111.873   	61.036    	37.4827   	33.295    	35.9509   
30.500000	4528.14   	4483.8    	4574.8    	4575.4    	113.502   	61.8605   	38.0203   	33.7521   	36.4692   
30.750000	4593.39   	4548.24   	4640.29   	4640.91   	115.131   	62.6851   	38.558    	34.2092   	36.9875   
31.000000	4658.64   	4612.68   	4705.78   	4706.42   	116.761   	63.5097   	39.0956   	34.6663   	37.5058   
31.250000	4727.29   	4680.52   	4774.66   	4775.32   	118.476   	64.3718   	39.6602   	35.1441   	38.0504   
31.500000	4795.94   	4748.35   	4843.54   	4844.22   	120.192   	65.2339   	40.2247   	35.6219   	38.5951   
31.750000	4864.58   	4816.19   	4912.42   	4913.13   	121.908   	66.096    	40.7893   	36.0997   	39.1397   
32.000000	4933.23   	4884.02   	4981.3    	4982.03   	123.624   	66.9581   	41.3538   	36.5775   	39.6844   
32.250000	5001.88   	4951.86   	5050.18   	5050.93   	125.34    	67.8202   	41.9184   	37.0553   	40.229    
32.500000	5070.52   	5019.7    	5119.06   	5119.83   	127.056   	68.6823   	42.4829   	37.5331   	40.7737   
32.750000	5139.17   	5087.53   	5187.94   	5188.74   	128.772   	69.5444   	43.0475   	38.0109   	41.3183   
33.000000	5207.82   	5155.37   	5256.82   	5257.64   	130.488   	70.4065   	43.6121   	38.4887   	41.863    
33.250000	5279.81   	5226.55   	5329.06   	5329.91   	132.29    	71.3062   	44.2034   	38.9871   	42.4339   
33.500000	5351.8    	5297.74   	5401.3    	5402.17   	134.092   	72.206    	44.7948   	39.4855   	43.0049   
33.750000	5423.79   	5368.92   	5473.54   	5474.44   	135.895   	73.1057   	45.3861   	39.9839   	43.5758   
