Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
1.000000	8.11178   	8.38874   	8.73451   	8.73471   	0.0481148 	0.0308847 	0.0893057 	0.125932  	0.0786362 
1.025000	8.28954   	8.5726    	8.91711   	8.91731   	0.0487762 	0.0313041 	0.0909398 	0.127977  	0.0801771 
1.050000	8.46731   	8.75646   	9.0997    	9.09991   	0.0494376 	0.0317235 	0.092574  	0.130023  	0.0817181 
1.075000	8.64507   	8.94032   	9.2823    	9.28251   	0.050099  	0.0321429 	0.0942082 	0.132068  	0.083259  
1.100000	8.82283   	9.12418   	9.46489   	9.46511   	0.0507603 	0.0325623 	0.0958423 	0.134114  	0.0847999 
1.125000	9.00059   	9.30804   	9.64749   	9.64771   	0.0514217 	0.0329816 	0.0974765 	0.13616   	0.0863409 
1.150000	9.17836   	9.4919    	9.83008   	9.83031   	0.0520831 	0.033401  	0.0991107 	0.138205  	0.0878818 
1.175000	9.35612   	9.67577   	10.0127   	10.0129   	0.0527445 	0.0338204 	0.100745  	0.140251  	0.0894228 
1.200000	9.53388   	9.85963   	10.1953   	10.1955   	0.0534059 	0.0342398 	0.102379  	0.142296  	0.0909637 
1.225000	9.71165   	10.0435   	10.3779   	10.3781   	0.0540673 	0.0346592 	0.104013  	0.144342  	0.0925047 
1.250000	9.88941   	10.2273   	10.5605   	10.5607   	0.0547287 	0.0350786 	0.105647  	0.146388  	0.0940456 
1.275000	10.0772   	10.4215   	10.752    	10.7522   	0.0554534 	0.0355413 	0.107181  	0.148253  	0.0955102 
1.300000	10.2649   	10.6157   	10.9435   	10.9437   	0.0561781 	0.0360041 	0.108715  	0.150118  	0.0969748 
1.325000	10.4527   	10.8099   	11.1349   	11.1352   	0.0569028 	0.0364669 	0.110249  	0.151983  	0.0984394 
1.350000	10.6404   	11.0041   	11.3264   	11.3267   	0.0576275 	0.0369297 	0.111783  	0.153848  	0.099904  
1.375000	10.8282   	11.1983   	11.5179   	11.5182   	0.0583522 	0.0373925 	0.113316  	0.155713  	0.101369  
1.400000	11.0159   	11.3925   	11.7094   	11.7097   	0.0590769 	0.0378552 	0.11485   	0.157578  	0.102833  
1.425000	11.2037   	11.5867   	11.9009   	11.9012   	0.0598016 	0.038318  	0.116384  	0.159443  	0.104298  
1.450000	11.3914   	11.7809   	12.0924   	12.0927   	0.0605263 	0.0387808 	0.117918  	0.161308  	0.105762  
1.475000	11.5792   	11.9751   	12.2839   	12.2842   	0.061251  	0.0392436 	0.119452  	0.163173  	0.107227  
1.500000	11.7669   	12.1693   	12.4754   	12.4757   	0.0619756 	0.0397063 	0.120985  	0.165038  	0.108692  
1.525000	11.9653   	12.3745   	12.6766   	12.6769   	0.0627653 	0.0402116 	0.121178  	0.165181  	0.108907  
1.550000	12.1637   	12.5797   	12.8778   	12.878    	0.063555  	0.0407168 	0.121372  	0.165324  	0.109122  
1.575000	12.3622   	12.7849   	13.0789   	13.0792   	0.0643447 	0.041222  	0.121565  	0.165467  	0.109337  
1.600000	12.5606   	12.9901   	13.2801   	13.2804   	0.0651343 	0.0417273 	0.121758  	0.165609  	0.109553  
1.625000	12.759    	13.1954   	13.4813   	13.4816   	0.065924  	0.0422325 	0.121951  	0.165752  	0.109768  
