Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.000000	-	-	-	-	-	-	-	-	-
0.002500	0.0936142 	0.0955131 	0.102073  	0.102076  	0.00581442	0.00581423	0.000349228	0.000587257	0.000259198
0.005000	0.185431  	0.190479  	0.20082   	0.200825  	0.00694213	0.00694191	0.000923903	0.00151678	0.000707598
0.007500	0.272653  	0.280694  	0.290113  	0.290121  	0.00700189	0.00700167	0.00162573	0.00262484	0.00127003
0.010000	0.356489  	0.367406  	0.37366   	0.37367   	0.00726551	0.00726528	0.00236062	0.00377437	0.00186464
0.012500	0.432214  	0.445728  	0.448635  	0.448647  	0.00789924	0.007899  	0.00313468	0.00496938	0.00249923
0.015000	0.507938  	0.52405   	0.52361   	0.523624  	0.00853297	0.00853271	0.00390874	0.00616439	0.00313383
0.017500	0.573297  	0.591651  	0.589009  	0.589025  	0.00927506	0.00927478	0.00467533	0.00733822	0.00376726
0.020000	0.638655  	0.659252  	0.654409  	0.654426  	0.0100171 	0.0100169 	0.00544192	0.00851205	0.00440069
0.022500	0.695808  	0.718365  	0.711861  	0.711879  	0.0106774 	0.0106771 	0.00617486	0.00962952	0.00500885
0.025000	0.75296   	0.777477  	0.769313  	0.769333  	0.0113376 	0.0113373 	0.00690781	0.010747  	0.00561701
0.027500	0.803305  	0.82955   	0.821     	0.82102   	0.0119065 	0.0119062 	0.00761194	0.0118166 	0.00620333
0.030000	0.85365   	0.881622  	0.872686  	0.872708  	0.0124753 	0.012475  	0.00831607	0.0128862 	0.00678965
0.032500	0.898982  	0.928509  	0.920299  	0.920322  	0.0129756 	0.0129753 	0.00900228	0.0139248 	0.00736304
