Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
1.000000	14.6802   	14.6562   	14.6936   	14.6936   	0.307688  	0.274219  	0.15506   	0.180417  	0.140188  
1.025000	15.2615   	15.2365   	15.2727   	15.2727   	0.32047   	0.284397  	0.160211  	0.186068  	0.144987  
1.050000	15.8427   	15.8168   	15.8517   	15.8517   	0.333251  	0.294574  	0.165362  	0.191719  	0.149787  
1.075000	16.424    	16.3972   	16.4308   	16.4308   	0.346032  	0.304751  	0.170512  	0.19737   	0.154586  
1.100000	17.0053   	16.9775   	17.0099   	17.0099   	0.358813  	0.314928  	0.175663  	0.203021  	0.159385  
1.125000	17.5866   	17.5579   	17.5889   	17.5889   	0.371594  	0.325106  	0.180814  	0.208671  	0.164185  
1.150000	18.1679   	18.1382   	18.168    	18.168    	0.384375  	0.335283  	0.185965  	0.214322  	0.168984  
1.175000	18.7492   	18.7185   	18.7471   	18.7471   	0.397156  	0.34546   	0.191115  	0.219973  	0.173783  
1.200000	19.3305   	19.2989   	19.3262   	19.3262   	0.409937  	0.355638  	0.196266  	0.225624  	0.178582  
1.225000	19.9118   	19.8792   	19.9052   	19.9052   	0.422718  	0.365815  	0.201417  	0.231275  	0.183382  
1.250000	20.4931   	20.4596   	20.4843   	20.4843   	0.435499  	0.375992  	0.206568  	0.236925  	0.188181  
1.275000	21.1537   	21.1191   	21.1419   	21.1419   	0.450193  	0.387849  	0.212312  	0.243174  	0.193581  
1.300000	21.8144   	21.7787   	21.7995   	21.7995   	0.464887  	0.399707  	0.218057  	0.249422  	0.198981  
1.325000	22.4751   	22.4383   	22.4571   	22.4571   	0.479581  	0.411564  	0.223801  	0.255671  	0.204381  
1.350000	23.1357   	23.0979   	23.1147   	23.1147   	0.494275  	0.423421  	0.229546  	0.261919  	0.209781  
1.375000	23.7964   	23.7575   	23.7722   	23.7722   	0.508969  	0.435279  	0.23529   	0.268167  	0.21518   
1.400000	24.4571   	24.4171   	24.4298   	24.4298   	0.523663  	0.447136  	0.241035  	0.274416  	0.22058   
1.425000	25.1177   	25.0766   	25.0874   	25.0874   	0.538357  	0.458993  	0.246779  	0.280664  	0.22598   
1.450000	25.7784   	25.7362   	25.745    	25.745    	0.553051  	0.47085   	0.252524  	0.286912  	0.23138   
1.475000	26.4391   	26.3958   	26.4026   	26.4026   	0.567744  	0.482708  	0.258268  	0.293161  	0.23678   
1.500000	27.0998   	27.0554   	27.0602   	27.0602   	0.582438  	0.494565  	0.264013  	0.299409  	0.24218   
1.525000	27.8371   	27.7916   	27.7939   	27.7939   	0.599     	0.507768  	0.270368  	0.306241  	0.248172  
1.550000	28.5745   	28.5278   	28.5276   	28.5276   	0.615561  	0.520971  	0.276723  	0.313072  	0.254164  
1.575000	29.3119   	29.264    	29.2613   	29.2613   	0.632122  	0.534175  	0.283078  	0.319904  	0.260155  
1.600000	30.0493   	30.0001   	29.995    	29.995    	0.648683  	0.547378  	0.289433  	0.326735  	0.266147  
1.625000	30.7867   	30.7363   	30.7287   	30.7287   	0.665244  	0.560581  	0.295788  	0.333567  	0.272139  
1.650000	31.5241   	31.4725   	31.4624   	31.4624   	0.681805  	0.573784  	0.302143  	0.340398  	0.278131  
1.675000	32.2615   	32.2087   	32.1961   	32.1961   	0.698367  	0.586987  	0.308498  	0.34723   	0.284123  
1.700000	32.9989   	32.9449   	32.9299   	32.9299   	0.714928  	0.600191  	0.314853  	0.354061  	0.290114  
1.725000	33.7363   	33.6811   	33.6636   	33.6636   	0.731489  	0.613394  	0.321208  	0.360893  	0.296106  
1.750000	34.4737   	34.4172   	34.3973   	34.3973   	0.74805   	0.626597  	0.327563  	0.367724  	0.302098  
1.775000	35.2856   	35.2278   	35.2051   	35.2051   	0.766439  	0.64098   	0.334527  	0.375122  	0.308671  
1.800000	36.0975   	36.0384   	36.0129   	36.0129   	0.784828  	0.655362  	0.341491  	0.38252   	0.315243  
1.825000	36.9094   	36.8489   	36.8207   	36.8207   	0.803217  	0.669745  	0.348455  	0.389918  	0.321816  
1.850000	37.7213   	37.6595   	37.6286   	37.6286   	0.821605  	0.684128  	0.355419  	0.397316  	0.328389  
1.875000	38.5332   	38.4701   	38.4364   	38.4364   	0.839994  	0.69851   	0.362383  	0.404713  	0.334962  
1.900000	39.3451   	39.2807   	39.2442   	39.2442   	0.858383  	0.712893  	0.369347  	0.412111  	0.341534  
1.925000	40.157    	40.0912   	40.052    	40.052    	0.876772  	0.727276  	0.376311  	0.419509  	0.348107  
1.950000	40.9689   	40.9018   	40.8599   	40.8599   	0.895161  	0.741658  	0.383275  	0.426907  	0.35468   
1.975000	41.7808   	41.7124   	41.6677   	41.6677   	0.91355   	0.756041  	0.390239  	0.434305  	0.361252  
2.000000	42.5927   	42.5229   	42.4755   	42.4755   	0.931938  	0.770424  	0.397203  	0.441703  	0.367825  
2.025000	43.4772   	43.406    	43.3558   	43.3558   	0.95212   	0.78589   	0.404764  	0.449652  	0.374969  
2.050000	44.3617   	44.2891   	44.236    	44.236    	0.972302  	0.801357  	0.412326  	0.457601  	0.382114  
2.075000	45.2462   	45.1722   	45.1162   	45.1162   	0.992484  	0.816824  	0.419887  	0.46555   	0.389258  
2.100000	46.1307   	46.0552   	45.9965   	45.9965   	1.01267   	0.832291  	0.427448  	0.473499  	0.396402  
2.125000	47.0153   	46.9383   	46.8767   	46.8767   	1.03285   	0.847758  	0.435009  	0.481448  	0.403546  
2.150000	47.8998   	47.8214   	47.7569   	47.7569   	1.05303   	0.863225  	0.442571  	0.489397  	0.410691  
2.175000	48.7843   	48.7044   	48.6372   	48.6372   	1.07321   	0.878692  	0.450132  	0.497346  	0.417835  
2.200000	49.6688   	49.5875   	49.5174   	49.5174   	1.09339   	0.894159  	0.457693  	0.505295  	0.424979  
2.225000	50.5533   	50.4706   	50.3976   	50.3976   	1.11358   	0.909626  	0.465254  	0.513244  	0.432123  
2.250000	51.4379   	51.3536   	51.2779   	51.2779   	1.13376   	0.925093  	0.472816  	0.521193  	0.439267  
2.275000	52.3933   	52.3076   	52.229    	52.229    	1.1557    	0.941583  	0.480963  	0.529679  	0.446972  
2.300000	53.3487   	53.2615   	53.1802   	53.1802   	1.17765   	0.958074  	0.48911   	0.538165  	0.454676  
2.325000	54.3041   	54.2154   	54.1313   	54.1313   	1.19959   	0.974564  	0.497257  	0.546651  	0.462381  
2.350000	55.2595   	55.1694   	55.0825   	55.0825   	1.22153   	0.991055  	0.505404  	0.555137  	0.470085  
2.375000	56.215    	56.1233   	56.0337   	56.0337   	1.24348   	1.00755   	0.513551  	0.563623  	0.47779   
2.400000	57.1704   	57.0772   	56.9848   	56.9848   	1.26542   	1.02404   	0.521698  	0.572109  	0.485494  
2.425000	58.1258   	58.0312   	57.936    	57.936    	1.28737   	1.04053   	0.529845  	0.580595  	0.493199  
2.450000	59.0812   	58.9851   	58.8871   	58.8871   	1.30931   	1.05702   	0.537992  	0.589081  	0.500903  
2.475000	60.0366   	59.939    	59.8383   	59.8383   	1.33126   	1.07351   	0.546139  	0.597566  	0.508607  
2.500000	60.992    	60.893    	60.7895   	60.7895   	1.3532    	1.09      	0.554286  	0.606052  	0.516312  
2.525000	62.0453   	61.9504   	61.8445   	61.8445   	1.37774   	1.10794   	0.563292  	0.615318  	0.524839  
2.550000	63.0986   	63.0078   	62.8995   	62.8995   	1.40227   	1.12589   	0.572297  	0.624584  	0.533367  
2.575000	64.1518   	64.0652   	63.9545   	63.9545   	1.4268    	1.14383   	0.581302  	0.633849  	0.541895  
2.600000	65.2051   	65.1227   	65.0095   	65.0095   	1.45134   	1.16178   	0.590308  	0.643115  	0.550422  
2.625000	66.2583   	66.1801   	66.0645   	66.0645   	1.47587   	1.17973   	0.599313  	0.652381  	0.55895   
2.650000	67.3116   	67.2375   	67.1195   	67.1195   	1.50041   	1.19767   	0.608319  	0.661647  	0.567477  
2.675000	68.3648   	68.2949   	68.1745   	68.1745   	1.52494   	1.21562   	0.617324  	0.670912  	0.576005  
2.700000	69.4181   	69.3524   	69.2295   	69.2295   	1.54948   	1.23356   	0.626329  	0.680178  	0.584532  
2.725000	70.4714   	70.4098   	70.2845   	70.2845   	1.57401   	1.25151   	0.635335  	0.689444  	0.59306   
2.750000	71.5246   	71.4672   	71.3395   	71.3395   	1.59855   	1.26945   	0.64434   	0.698709  	0.601587  
2.775000	72.5779   	72.5247   	72.3945   	72.3945   	1.62308   	1.2874    	0.653346  	0.707975  	0.610115  
2.800000	73.6311   	73.5821   	73.4495   	73.4495   	1.64762   	1.30534   	0.662351  	0.717241  	0.618642  
2.825000	74.6844   	74.6395   	74.5045   	74.5045   	1.67215   	1.32329   	0.671356  	0.726506  	0.62717   
2.850000	75.7376   	75.6969   	75.5595   	75.5595   	1.69669   	1.34123   	0.680362  	0.735772  	0.635697  
2.875000	76.7909   	76.7544   	76.6145   	76.6145   	1.72122   	1.35918   	0.689367  	0.745038  	0.644225  
2.900000	77.8442   	77.8118   	77.6695   	77.6695   	1.74576   	1.37712   	0.698372  	0.754303  	0.652752  
2.925000	78.8974   	78.8692   	78.7245   	78.7245   	1.77029   	1.39507   	0.707378  	0.763569  	0.66128   
2.950000	79.9507   	79.9266   	79.7795   	79.7795   	1.79483   	1.41302   	0.716383  	0.772835  	0.669808  
2.975000	81.0039   	80.9841   	80.8345   	80.8345   	1.81936   	1.43096   	0.725389  	0.782101  	0.678335  
3.000000	82.0572   	82.0415   	81.8895   	81.8895   	1.8439    	1.44891   	0.734394  	0.791366  	0.686863  
3.025000	83.2412   	83.2329   	83.0793   	83.0793   	1.87181   	1.4687    	0.744515  	0.801636  	0.696461  
3.050000	84.4252   	84.4244   	84.2692   	84.2692   	1.89972   	1.48849   	0.754636  	0.811906  	0.706059  
3.075000	85.6092   	85.6159   	85.459    	85.459    	1.92763   	1.50827   	0.764757  	0.822176  	0.715657  
