Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
10.000000	804.732   	823.957   	782.5     	782.5     	16.8782   	10.4935   	3.52205   	3.61084   	3.3129    
10.250000	842.288   	861.584   	819.192   	819.191   	17.7059   	10.9607   	3.68811   	3.77201   	3.47062   
10.500000	879.845   	899.211   	855.884   	855.883   	18.5337   	11.4279   	3.85416   	3.93318   	3.62834   
10.750000	917.401   	936.839   	892.576   	892.575   	19.3615   	11.8951   	4.02022   	4.09435   	3.78606   
11.000000	954.957   	974.466   	929.268   	929.267   	20.1893   	12.3623   	4.18627   	4.25551   	3.94378   
11.250000	995.407   	1014.93   	968.937   	968.935   	21.0918   	12.8659   	4.36637   	4.42896   	4.11502   
11.500000	1035.86   	1055.39   	1008.61   	1008.6    	21.9944   	13.3694   	4.54647   	4.60242   	4.28627   
11.750000	1076.31   	1095.86   	1048.27   	1048.27   	22.897    	13.873    	4.72657   	4.77587   	4.45751   
12.000000	1116.76   	1136.32   	1087.94   	1087.94   	23.7996   	14.3765   	4.90667   	4.94932   	4.62876   
12.250000	1160.06   	1179.59   	1130.56   	1130.55   	24.7762   	14.9156   	5.10075   	5.13493   	4.81348   
12.500000	1203.36   	1222.85   	1173.17   	1173.17   	25.7527   	15.4547   	5.29484   	5.32055   	4.99821   
12.750000	1246.67   	1266.12   	1215.79   	1215.78   	26.7293   	15.9938   	5.48893   	5.50616   	5.18294   
13.000000	1289.97   	1309.38   	1258.4    	1258.4    	27.7058   	16.5329   	5.68301   	5.69177   	5.36767   
13.250000	1336.09   	1355.42   	1303.94   	1303.93   	28.7555   	17.1066   	5.89099   	5.8894    	5.56581   
13.500000	1382.21   	1401.46   	1349.47   	1349.46   	29.8051   	17.6804   	6.09897   	6.08703   	5.76394   
13.750000	1428.33   	1447.5    	1395      	1394.99   	30.8548   	18.2541   	6.30695   	6.28466   	5.96207   
14.000000	1474.44   	1493.54   	1440.53   	1440.53   	31.9044   	18.8278   	6.51493   	6.48229   	6.16021   
14.250000	1523.34   	1542.32   	1488.95   	1488.95   	33.0264   	19.4359   	6.7367    	6.69178   	6.37166   
14.500000	1572.24   	1591.11   	1537.37   	1537.37   	34.1484   	20.0439   	6.95847   	6.90126   	6.58311   
14.750000	1621.14   	1639.89   	1585.79   	1585.79   	35.2704   	20.6519   	7.18024   	7.11075   	6.79456   
15.000000	1670.04   	1688.67   	1634.21   	1634.21   	36.3923   	21.2599   	7.40201   	7.32024   	7.006     
15.250000	1721.68   	1740.17   	1685.49   	1685.49   	37.5858   	21.9017   	7.63744   	7.54142   	7.23066   
15.500000	1773.33   	1791.67   	1736.77   	1736.77   	38.7793   	22.5435   	7.87288   	7.76261   	7.45532   
15.750000	1824.98   	1843.16   	1788.05   	1788.05   	39.9727   	23.1853   	8.10832   	7.98379   	7.67998   
16.000000	1876.62   	1894.66   	1839.33   	1839.33   	41.1662   	23.8271   	8.34375   	8.20498   	7.90463   
16.250000	1930.98   	1948.85   	1893.44   	1893.44   	42.4302   	24.5017   	8.59271   	8.43768   	8.14237   
16.500000	1985.35   	2003.04   	1947.55   	1947.55   	43.6942   	25.1763   	8.84167   	8.67038   	8.38011   
16.750000	2039.71   	2057.23   	2001.66   	2001.66   	44.9582   	25.851    	9.09063   	8.90309   	8.61785   
17.000000	2094.07   	2111.41   	2055.77   	2055.77   	46.2222   	26.5256   	9.33959   	9.13579   	8.85559   
17.250000	2151.12   	2168.26   	2112.68   	2112.68   	47.5558   	27.2323   	9.60193   	9.37984   	9.10628   
17.500000	2208.17   	2225.12   	2169.59   	2169.6    	48.8894   	27.939    	9.86427   	9.62388   	9.35696   
17.750000	2265.21   	2281.97   	2226.5    	2226.51   	50.2229   	28.6457   	10.1266   	9.86793   	9.60765   
18.000000	2322.26   	2338.82   	2283.4    	2283.42   	51.5565   	29.3525   	10.3889   	10.112    	9.85834   
18.250000	2381.97   	2398.31   	2343.08   	2343.1    	52.9588   	30.0908   	10.6645   	10.3672   	10.1218   
18.500000	2441.67   	2457.8    	2402.76   	2402.78   	54.3612   	30.8291   	10.9401   	10.6224   	10.3854   
