Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
1.000000	16.4693   	16.13     	16.0404   	16.0404   	0.343128  	0.304275  	0.171811  	0.200988  	0.156179  
1.025000	17.1398   	16.7867   	16.6964   	16.6964   	0.357851  	0.315641  	0.177949  	0.207734  	0.161915  
1.050000	17.8104   	17.4434   	17.3523   	17.3523   	0.372575  	0.327007  	0.184086  	0.214481  	0.167651  
1.075000	18.4809   	18.1001   	18.0083   	18.0083   	0.387298  	0.338373  	0.190224  	0.221228  	0.173387  
1.100000	19.1515   	18.7568   	18.6642   	18.6642   	0.402021  	0.349739  	0.196362  	0.227975  	0.179123  
1.125000	19.822    	19.4135   	19.3202   	19.3202   	0.416745  	0.361105  	0.202499  	0.234722  	0.184859  
1.150000	20.4926   	20.0702   	19.9761   	19.9761   	0.431468  	0.37247   	0.208637  	0.241468  	0.190595  
1.175000	21.1631   	20.7269   	20.6321   	20.6321   	0.446192  	0.383836  	0.214774  	0.248215  	0.196332  
1.200000	21.8337   	21.3836   	21.288    	21.288    	0.460915  	0.395202  	0.220912  	0.254962  	0.202068  
1.225000	22.5042   	22.0403   	21.944    	21.944    	0.475639  	0.406568  	0.227049  	0.261709  	0.207804  
1.250000	23.1748   	22.697    	22.5999   	22.5999   	0.490362  	0.417934  	0.233187  	0.268456  	0.21354   
1.275000	23.9383   	23.4448   	23.3449   	23.3449   	0.507185  	0.431215  	0.240038  	0.275882  	0.219966  
1.300000	24.7018   	24.1925   	24.0898   	24.0898   	0.524007  	0.444496  	0.246889  	0.283308  	0.226393  
1.325000	25.4653   	24.9403   	24.8348   	24.8348   	0.540829  	0.457777  	0.25374   	0.290734  	0.232819  
1.350000	26.2288   	25.688    	25.5798   	25.5798   	0.557652  	0.471058  	0.260591  	0.298161  	0.239246  
1.375000	26.9924   	26.4357   	26.3247   	26.3247   	0.574474  	0.484339  	0.267442  	0.305587  	0.245672  
1.400000	27.7559   	27.1835   	27.0697   	27.0697   	0.591297  	0.49762   	0.274293  	0.313013  	0.252099  
1.425000	28.5194   	27.9312   	27.8147   	27.8147   	0.608119  	0.510901  	0.281144  	0.32044   	0.258525  
1.450000	29.2829   	28.679    	28.5597   	28.5597   	0.624941  	0.524182  	0.287995  	0.327866  	0.264952  
1.475000	30.0464   	29.4267   	29.3046   	29.3046   	0.641764  	0.537463  	0.294846  	0.335292  	0.271378  
1.500000	30.8099   	30.1745   	30.0496   	30.0496   	0.658586  	0.550743  	0.301697  	0.342719  	0.277805  
1.525000	31.6625   	31.0095   	30.88     	30.88     	0.67744   	0.565622  	0.309242  	0.350796  	0.284901  
1.550000	32.5152   	31.8445   	31.7104   	31.7104   	0.696295  	0.580501  	0.316788  	0.358874  	0.291998  
1.575000	33.3678   	32.6796   	32.5408   	32.5408   	0.715149  	0.59538   	0.324333  	0.366951  	0.299095  
1.600000	34.2205   	33.5146   	33.3712   	33.3712   	0.734004  	0.610259  	0.331878  	0.375029  	0.306192  
1.625000	35.0731   	34.3496   	34.2016   	34.2016   	0.752858  	0.625138  	0.339423  	0.383106  	0.313289  
1.650000	35.9258   	35.1847   	35.032    	35.032    	0.771712  	0.640017  	0.346968  	0.391184  	0.320386  
1.675000	36.7784   	36.0197   	35.8624   	35.8624   	0.790567  	0.654896  	0.354513  	0.399262  	0.327483  
1.700000	37.6311   	36.8547   	36.6928   	36.6928   	0.809421  	0.669775  	0.362058  	0.407339  	0.33458   
1.725000	38.4837   	37.6898   	37.5232   	37.5232   	0.828275  	0.684654  	0.369604  	0.415417  	0.341677  
1.750000	39.3363   	38.5248   	38.3536   	38.3536   	0.84713   	0.699533  	0.377149  	0.423494  	0.348774  
1.775000	40.275    	39.4441   	39.2666   	39.2666   	0.867961  	0.715752  	0.385368  	0.432198  	0.356522  
1.800000	41.2137   	40.3634   	40.1796   	40.1796   	0.888792  	0.73197   	0.393588  	0.440901  	0.36427   
1.825000	42.1524   	41.2827   	41.0925   	41.0925   	0.909624  	0.748189  	0.401808  	0.449604  	0.372018  
1.850000	43.0911   	42.202    	42.0055   	42.0055   	0.930455  	0.764408  	0.410028  	0.458308  	0.379766  
1.875000	44.0297   	43.1213   	42.9185   	42.9185   	0.951286  	0.780626  	0.418247  	0.467011  	0.387514  
1.900000	44.9684   	44.0406   	43.8315   	43.8315   	0.972118  	0.796845  	0.426467  	0.475715  	0.395262  
1.925000	45.9071   	44.9598   	44.7445   	44.7445   	0.992949  	0.813064  	0.434687  	0.484418  	0.40301   
1.950000	46.8458   	45.8791   	45.6575   	45.6575   	1.01378   	0.829282  	0.442906  	0.493121  	0.410759  
1.975000	47.7845   	46.7984   	46.5705   	46.5705   	1.03461   	0.845501  	0.451126  	0.501825  	0.418507  
2.000000	48.7231   	47.7177   	47.4834   	47.4834   	1.05544   	0.86172   	0.459346  	0.510528  	0.426255  
2.025000	49.7453   	48.7187   	48.4767   	48.4767   	1.0782    	0.879136  	0.468201  	0.519837  	0.434637  
2.050000	50.7674   	49.7198   	49.4699   	49.4699   	1.10097   	0.896551  	0.477056  	0.529146  	0.44302   
2.075000	51.7895   	50.7208   	50.4631   	50.4631   	1.12373   	0.913967  	0.485911  	0.538454  	0.451402  
2.100000	52.8117   	51.7218   	51.4563   	51.4563   	1.14649   	0.931383  	0.494766  	0.547763  	0.459785  
2.125000	53.8338   	52.7228   	52.4496   	52.4496   	1.16925   	0.948799  	0.503621  	0.557072  	0.468167  
2.150000	54.8559   	53.7238   	53.4428   	53.4428   	1.19201   	0.966215  	0.512476  	0.566381  	0.47655   
2.175000	55.8781   	54.7249   	54.436    	54.436    	1.21477   	0.98363   	0.52133   	0.575689  	0.484932  
2.200000	56.9002   	55.7259   	55.4292   	55.4292   	1.23753   	1.00105   	0.530185  	0.584998  	0.493315  
