Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.000000	-	-	-	-	-	-	-	-	-
0.002500	0.107548  	0.107531  	0.119397  	0.119397  	0.0143226 	0.0143226 	0.000671059	0.00100076	0.000593921
0.005000	0.187309  	0.187272  	0.208026  	0.208026  	0.0156988 	0.0156988 	0.0014601 	0.00214882	0.00130508
0.007500	0.247207  	0.247154  	0.274641  	0.274641  	0.0157308 	0.0157308 	0.00218643	0.00318407	0.00196877
0.010000	0.300527  	0.30046   	0.333958  	0.333958  	0.0158587 	0.0158587 	0.0028972 	0.00419002	0.00262114
0.012500	0.34492   	0.344841  	0.383848  	0.383848  	0.0161425 	0.0161425 	0.00359397	0.0051668 	0.00326437
0.015000	0.389314  	0.389222  	0.433739  	0.433739  	0.0164262 	0.0164262 	0.00429074	0.00614359	0.0039076 
0.017500	0.42782   	0.427719  	0.476641  	0.476641  	0.0167891 	0.0167891 	0.00497965	0.00710189	0.00454649
0.020000	0.466326  	0.466215  	0.519543  	0.519543  	0.0171519 	0.0171519 	0.00566856	0.0080602 	0.00518537
0.022500	0.501122  	0.501001  	0.557886  	0.557886  	0.0175269 	0.0175269 	0.00635673	0.00901216	0.00582566
0.025000	0.535917  	0.535787  	0.596228  	0.596228  	0.0179018 	0.0179018 	0.0070449 	0.00996411	0.00646594
0.027500	0.567911  	0.567772  	0.62966   	0.62966   	0.0182172 	0.0182172 	0.00770471	0.0108765 	0.00708   
0.030000	0.599905  	0.599758  	0.663092  	0.663092  	0.0185326 	0.0185326 	0.00836452	0.0117889 	0.00769406
0.032500	0.629768  	0.629613  	0.692702  	0.692702  	0.0187929 	0.0187929 	0.00899843	0.0126654 	0.00828416
0.035000	0.659631  	0.659468  	0.722312  	0.722312  	0.0190533 	0.0190533 	0.00963234	0.0135418 	0.00887425
0.037500	0.687882  	0.687711  	0.750038  	0.750038  	0.0192975 	0.0192975 	0.0102682 	0.0144179 	0.00946736
0.040000	0.716132  	0.715954  	0.777765  	0.777765  	0.0195416 	0.0195416 	0.010904  	0.0152939 	0.0100605 
0.042500	0.743158  	0.742973  	0.804389  	0.804389  	0.0197817 	0.0197817 	0.0115541 	0.0161021 	0.0106683 
0.045000	0.770185  	0.769993  	0.831013  	0.831013  	0.0200218 	0.0200218 	0.0122042 	0.0169103 	0.0112762 
0.047500	0.796278  	0.796079  	0.856879  	0.856879  	0.0202613 	0.020439  	0.0128712 	0.0177093 	0.0119013 
0.050000	0.822372  	0.822166  	0.882745  	0.882745  	0.0205008 	0.0208561 	0.0135381 	0.0185082 	0.0125263 
0.052500	0.847753  	0.84754   	0.90804   	0.90804   	0.0207409 	0.0213488 	0.0142254 	0.0193044 	0.0131718 
0.055000	0.873134  	0.872915  	0.933335  	0.933335  	0.020981  	0.0218414 	0.0149127 	0.0201006 	0.0138172 
0.057500	0.897972  	0.897746  	0.958186  	0.958186  	0.0212222 	0.0223074 	0.015621  	0.0208959 	0.0144836 
0.060000	0.92281   	0.922577  	0.983037  	0.983037  	0.0214634 	0.0227734 	0.0163293 	0.0216913 	0.0151501 
0.062500	0.947083  	0.946844  	1.00741   	1.00741   	0.0217072 	0.0232104 	0.0170703 	0.0224881 	0.0158491 
0.065000	0.971357  	0.971111  	1.03178   	1.03178   	0.0219509 	0.0236474 	0.0178113 	0.0232848 	0.0165481 
0.067500	0.99563   	0.995378  	1.05615   	1.05615   	0.0221947 	0.0240845 	0.0185523 	0.0240816 	0.0172471 
0.070000	1.0199    	1.01964   	1.08052   	1.08052   	0.0224385 	0.0245215 	0.0192933 	0.0248784 	0.0179461 
0.072500	1.04373   	1.04346   	1.10449   	1.10449   	0.0226875 	0.0249327 	0.0200802 	0.0256806 	0.0186907 
0.075000	1.06755   	1.06728   	1.12846   	1.12846   	0.0229365 	0.025344  	0.0208671 	0.0264828 	0.0194353 
0.077500	1.09137   	1.09109   	1.15242   	1.15242   	0.0231854 	0.0257552 	0.021654  	0.0272849 	0.0201798 
0.080000	1.11519   	1.11491   	1.17639   	1.17639   	0.0234344 	0.0261665 	0.0224408 	0.0280871 	0.0209244 
0.082500	1.13882   	1.13853   	1.20018   	1.20018   	0.0236907 	0.0265627 	0.0232647 	0.0288889 	0.0217063 
0.085000	1.16245   	1.16216   	1.22396   	1.22396   	0.0239471 	0.0269589 	0.0240885 	0.0296908 	0.0224882 
0.087500	1.18608   	1.18578   	1.24775   	1.24775   	0.0242034 	0.0273551 	0.0249124 	0.0304926 	0.0232701 
0.090000	1.20971   	1.2094    	1.27153   	1.27153   	0.0244597 	0.0277513 	0.0257362 	0.0312944 	0.024052  
0.092500	1.23333   	1.23301   	1.29529   	1.29529   	0.0247253 	0.0281398 	0.0265852 	0.0320892 	0.0248601 
0.095000	1.25695   	1.25662   	1.31905   	1.31905   	0.024991  	0.0285283 	0.0274342 	0.032884  	0.0256683 
0.097500	1.28056   	1.28023   	1.34282   	1.34282   	0.0252566 	0.0289168 	0.0282831 	0.0336788 	0.0264765 
0.100000	1.30418   	1.30384   	1.36658   	1.36658   	0.0255222 	0.0293053 	0.0291321 	0.0344736 	0.0272846 
