Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
1.000000	8.1627    	8.54196   	8.72893   	8.72893   	0.0484228 	0.0324004 	0.067418  	0.0953779 	0.0588264 
1.025000	8.3562    	8.74448   	8.92985   	8.92985   	0.0492514 	0.0329661 	0.0686308 	0.0969042 	0.0599612 
1.050000	8.54969   	8.94701   	9.13077   	9.13077   	0.0500799 	0.0335318 	0.0698437 	0.0984306 	0.061096  
1.075000	8.74319   	9.14953   	9.3317    	9.3317    	0.0509085 	0.0340976 	0.0710565 	0.099957  	0.0622307 
1.100000	8.93668   	9.35206   	9.53262   	9.53262   	0.0517371 	0.0346633 	0.0722694 	0.101483  	0.0633655 
1.125000	9.13018   	9.55458   	9.73354   	9.73354   	0.0525656 	0.035229  	0.0734822 	0.10301   	0.0645002 
1.150000	9.32367   	9.7571    	9.93446   	9.93446   	0.0533942 	0.0357948 	0.0746951 	0.104536  	0.065635  
1.175000	9.51717   	9.95963   	10.1354   	10.1354   	0.0542227 	0.0363605 	0.0759079 	0.106062  	0.0667697 
1.200000	9.71066   	10.1622   	10.3363   	10.3363   	0.0550513 	0.0369263 	0.0771208 	0.107589  	0.0679045 
1.225000	9.90415   	10.3647   	10.5372   	10.5372   	0.0558799 	0.037492  	0.0783336 	0.109115  	0.0690392 
1.250000	10.0976   	10.5672   	10.7382   	10.7382   	0.0567084 	0.0380577 	0.0795465 	0.110641  	0.070174  
1.275000	10.3007   	10.7797   	10.95     	10.95     	0.0576074 	0.038668  	0.0807044 	0.112059  	0.0712708 
1.300000	10.5038   	10.9923   	11.1618   	11.1618   	0.0585065 	0.0392782 	0.0818624 	0.113478  	0.0723675 
1.325000	10.7069   	11.2048   	11.3737   	11.3737   	0.0594055 	0.0398884 	0.0830204 	0.114896  	0.0734643 
1.350000	10.9099   	11.4174   	11.5855   	11.5855   	0.0603045 	0.0404986 	0.0841784 	0.116314  	0.0745611 
1.375000	11.113    	11.6299   	11.7973   	11.7973   	0.0612035 	0.0411089 	0.0853363 	0.117732  	0.0756579 
1.400000	11.3161   	11.8425   	12.0092   	12.0092   	0.0621026 	0.0417191 	0.0864943 	0.11915   	0.0767546 
1.425000	11.5191   	12.055    	12.221    	12.221    	0.0630016 	0.0423293 	0.0876523 	0.120568  	0.0778514 
1.450000	11.7222   	12.2676   	12.4329   	12.4329   	0.0639006 	0.0429396 	0.0888103 	0.121986  	0.0789482 
1.475000	11.9253   	12.4801   	12.6447   	12.6447   	0.0647996 	0.0435498 	0.0899682 	0.123404  	0.080045  
1.500000	12.1283   	12.6926   	12.8565   	12.8565   	0.0656987 	0.04416   	0.0911262 	0.124822  	0.0811417 
1.525000	12.3428   	12.9171   	13.0804   	13.0804   	0.0666754 	0.0448178 	0.0912048 	0.12485   	0.0812398 
1.550000	12.5573   	13.1416   	13.3042   	13.3042   	0.0676521 	0.0454757 	0.0912834 	0.124879  	0.0813379 
1.575000	12.7717   	13.366    	13.5281   	13.5281   	0.0686289 	0.0461335 	0.091362  	0.124907  	0.0814359 
1.600000	12.9862   	13.5905   	13.752    	13.752    	0.0696056 	0.0467914 	0.0914407 	0.124936  	0.081534  
1.625000	13.2006   	13.815    	13.9758   	13.9758   	0.0705823 	0.0474492 	0.0915193 	0.124964  	0.081632  
1.650000	13.4151   	14.0395   	14.1997   	14.1997   	0.071559  	0.0481071 	0.0915979 	0.124993  	0.0817301 
1.675000	13.6296   	14.2639   	14.4235   	14.4235   	0.0725358 	0.0487649 	0.0916765 	0.125021  	0.0818282 
1.700000	13.844    	14.4884   	14.6474   	14.6474   	0.0735125 	0.0494228 	0.0917551 	0.12505   	0.0819262 
1.725000	14.0585   	14.7129   	14.8713   	14.8713   	0.0744892 	0.0500806 	0.0918337 	0.125078  	0.0820243 
1.750000	14.2729   	14.9373   	15.0951   	15.0951   	0.075466  	0.0507384 	0.0919123 	0.125107  	0.0821223 
1.775000	14.4997   	15.1747   	15.331    	15.331    	0.0765164 	0.0514403 	0.0919838 	0.125136  	0.0822103 
1.800000	14.7265   	15.412    	15.5669   	15.5669   	0.0775669 	0.0521421 	0.0920553 	0.125165  	0.0822983 
1.825000	14.9532   	15.6493   	15.8028   	15.8028   	0.0786173 	0.052844  	0.0921268 	0.125195  	0.0823863 
1.850000	15.18     	15.8867   	16.0387   	16.0387   	0.0796677 	0.0535458 	0.0921982 	0.125224  	0.0824743 
1.875000	15.4067   	16.124    	16.2746   	16.2746   	0.0807182 	0.0542477 	0.0922697 	0.125253  	0.0825623 
1.900000	15.6335   	16.3614   	16.5105   	16.5105   	0.0817686 	0.0549495 	0.0923412 	0.125283  	0.0826503 
1.925000	15.8602   	16.5987   	16.7463   	16.7463   	0.0828191 	0.0556514 	0.0924127 	0.125312  	0.0827383 
1.950000	16.087    	16.836    	16.9822   	16.9822   	0.0838695 	0.0563532 	0.0924842 	0.125342  	0.0828263 
1.975000	16.3138   	17.0734   	17.2181   	17.2181   	0.08492   	0.0570551 	0.0925557 	0.125371  	0.0829143 
2.000000	16.5405   	17.3107   	17.454    	17.454    	0.0859704 	0.0577569 	0.0926271 	0.1254    	0.0830022 
2.025000	16.7798   	17.5612   	17.7019   	17.7019   	0.0870924 	0.0585006 	0.0926987 	0.125437  	0.0830878 
2.050000	17.0191   	17.8116   	17.9499   	17.9499   	0.0882143 	0.0592444 	0.0927703 	0.125473  	0.0831734 
2.075000	17.2583   	18.062    	18.1978   	18.1978   	0.0893363 	0.0599881 	0.0928418 	0.12551   	0.0832589 
2.100000	17.4976   	18.3125   	18.4458   	18.4458   	0.0904582 	0.0607318 	0.0929134 	0.125546  	0.0833445 
2.125000	17.7369   	18.5629   	18.6937   	18.6937   	0.0915802 	0.0614755 	0.0929849 	0.125583  	0.0834301 
2.150000	17.9762   	18.8133   	18.9416   	18.9416   	0.0927021 	0.0622193 	0.0930565 	0.125619  	0.0835156 
2.175000	18.2154   	19.0638   	19.1896   	19.1896   	0.0938241 	0.062963  	0.093128  	0.125656  	0.0836012 
2.200000	18.4547   	19.3142   	19.4375   	19.4375   	0.0949461 	0.0637067 	0.0931996 	0.125692  	0.0836868 
2.225000	18.694    	19.5647   	19.6854   	19.6854   	0.096068  	0.0644504 	0.0932712 	0.125729  	0.0837723 
2.250000	18.9332   	19.8151   	19.9334   	19.9334   	0.09719   	0.0651941 	0.0933427 	0.125765  	0.0838579 
2.275000	19.1849   	20.0786   	20.1934   	20.1934   	0.0983822 	0.0659783 	0.0934187 	0.125812  	0.0839458 
2.300000	19.4365   	20.3422   	20.4534   	20.4534   	0.0995744 	0.0667624 	0.0934948 	0.12586   	0.0840338 
2.325000	19.6881   	20.6057   	20.7134   	20.7134   	0.100767  	0.0675465 	0.0935708 	0.125907  	0.0841217 
